probe_name	transcript_name	function	structural	category	sub category 1	3280.D.L1.C1.c	3280.D.L1.C1.t	3280.D.L1.C2.c	3280.D.L1.C2.t	3280.D.L1.C3.c	3280.D.L1.C3.t	3280.D.R.C1.c	3280.D.R.C1.t	3280.D.R.C2.c	3280.D.R.C2.t	3280.D.R.C3.c	3280.D.R.C3.t
GS1_SS_24791_07924	SCAGRT3048G05.g	Unknown	uncharacterized	.	.			8.0511				11.4352	10.4331	9.1137	9.3378	9.5881	9.1352
GS1_SS_24797_18959	SCQSRT1035D12.g	Pathogen Resistance	uncharacterized	Pathogenicity	Protease inhibitors	9.4933	10.133	11.1348	16.2347	9.1143	9.5805	9.4886	12.1945	9.9337	16.7839	8.3049	10.3293
GS1_SS_24798_13144	SCAGRT3050E08.g	.	.	.	.			9.0419		7.7618		10.2173	10.1422	10.621	11.2192	10.8703	11.1142
GS1_SS_24794_02120	SCJLRT3078D01.g	.	.	.	RecName:Transmembrane protein 19	10.9485	11.0354	10.8314	10.2189	10.1304	10.3696	10.7456	10.2554	10.8957	10.4137	10.626	10.5393
GS1_SS_04656_02459	SCVPRZ2040E10.g	.	.	.	RecName:Translation machinery-associated protein 7; AltName:Coiled-coil domain-containing protein 72		8.2223	7.8747	9.218			7.7019	8.0788	7.4607	8.0902	7.5352	7.3706
GS1_SS_02243_12732	SCMCRT2104E07.g	.	.	.	Ferredoxin-thioredoxin reductase catalytic chain, chloroplastic; FTR-C; Ferredoxin-thioredoxin reductase subunit B; FTR-B;	14.2244	13.5713	14.4317	11.3751	14.3509	14.3164	11.0826	11.5569	11.5611	12.0026	11.284	11.332
GS1_SS_07123_11696	SCVPCL6061D12.g	.	.	.	RecName:Putative glucuronosyltransferase PGSIP6; AltName:Glycogenin-like protein 6; AltName:Plant glycogenin-like starch initiation protein 6	9.64	9.9277	9.9738	11.1105	9.528	9.2677	10.4701	10.7382	10.9948	11.1339	10.733	10.7013
GS1_SS_09595_11796	SCACLR1036A09.g	.	.	.	.	8.3915	9.0159	9.086	10.1051	7.9351	9.0155	8.6157	8.9088	9.4006	9.2772	9.1791	8.9763
GS1_SS_07068_09635	SCCCLR1022A08.g	RNA metabolism	rna binding protein	.	H/ACA ribonucleoprotein complex subunit 4; Nucleolar protein NAP57 homolog; Nopp-140-associated protein of 57 kDa homolog; AtNAP57	10.8554	11.2468	11.0845		9.6568	11.3952	11.6518	11.5243	12.9917	12.3575	12.9961	12.0911
GS1_SS_09597_09044	SCCCLR1C07D02.g	.	.	.	RecName:Protein PAT1 homolog 1; AltName:PAT1-like protein 1; AltName:Protein PAT1 homolog b; Short=Pat1b	10.7298	10.7447	11.1889	11.3077	10.3702	10.4656	11.9478	11.9039	12.2204	12.3193	12.1866	12.4964
GS1_SS_07069_13958	SCVPCL6043H03.g	.	.	.	.	9.6256	9.6866	9.9776	9.9108	8.882	9.4441	10.7941	10.2419	11.1715	10.938	10.8881	10.7923
GS1_SS_09599_12166	SCACLR1057A01.g	.	.	.	Vam6/Vps39-like protein; Vps39 protein	12.1248	11.6349	11.5288	12.1	10.8565	11.7397	11.3902	10.8343	11.3463	11.6441	11.2645	11.1761
GS1_SS_02186_01280	SCJFRZ2034H01.g	.	.	.	DnaJ homolog subfamily C member 7; Tetratricopeptide repeat protein 2; TPR repeat protein 2; MDj11							7.0134	6.8263	6.8585	7.6342	6.7689	7.2376
GS1_SS_09590_12831	SCRURZ3083G10.g	.	.	.	Probable LRR receptor-like serine/threonine-protein kinase At1g56130 OS=Arabidopsis thaliana GN=At1g56130 PE=1 SV=2 			9.7523		9.0888	8.4217			6.6245		6.3085	7.1144
GS1_SS_04596_09762	SCQGAM2028C07.g	Unknown	uncharacterized	.	.	9.9171	8.4	9.8351	8.6346	8.7827	9.0371	8.5123	8.645	8.6816	9.0217	8.0453	8.8712
GS1_SS_09592_13347	SCJFLR2035A04.g	.	.	.	Uncharacterized protein Mb2253c Uncharacterized protein Rv2228c/MT2287	8.6503		9.1617		8.3181	9.2471	9.3252	9.2757	9.9725	9.6915	9.6208	9.719
GS1_SS_04595_07304	SCQGAM2028B11.g	.	.	.	RecName:Uncharacterized protein DDB_G0271670; Flags: Precursor	9.7629	9.4049	9.3982		8.1871	8.2257	9.844	9.3426	10.18	10.5274	10.137	10.1837
GS1_SS_07061_11014	SCVPCL6043B06.g	.	.	.	RecName:Putative protein TPRXL	12.7852	12.2252	12.0425	11.348	11.6039	12.2053	11.9507	11.8959	12.3308	12.2929	12.2504	12.2234
GS1_SS_02182_20470	SCJFRT1008D02.g	.	.	Protein kinase	MAPK/MAPKK/MAPKKK									6.8776		6.8964	6.8246
GS1_SS_02178_04233	SCSFLR2031A07.g	.	.	.	.								7.3861	8.4105	7.7496	7.8004	7.9177
GS1_SS_07065_12951	SCCCLB1004A12.g	RNA metabolism	others	.	Splicing factor, arginine/serine-rich 16; Suppressor of white-apricot homolog 2			8.5777		7.7997		9.1588	9.9704	9.4522	10.4247	9.9269	10.5633
GS1_SS_42182_16016	SCSBSD2056B03.g	.	.	Amino acid metabolism	S-adenosylmethionine synthetase alpha and beta forms (EC 2.5.1.6) (Methionine adenosyltrans	10.1271	9.9188	9.3823	9.0085	9.5235	9.7096						
GS1_SS_42107_17195	SCQGSD2044D02.g	.	.	Protein metabolism	Ribosomal protein S2 (Fragment)	10.2347	10.0164	9.4017	10.0792	8.8721	9.2571	8.625	8.0241	7.9584	8.7772	8.0473	7.6894
GS1_SS_02192_09664	SCEQAM1041B02.g	.	.	.	RecName:Flagellar attachment zone protein 1							7.958	8.5903	9.2529	9.0388	8.8241	8.8379
GS1_SS_04602_20785	SCQGAM2028D11.g	Hormone biosynthesis	synthase	Hormone biosynthesis	Ethylene		8.5748					9.8824	10.9703	10.041	12.3605	10.2479	11.8932
GS1_SS_02189_02003	SCEQAM1040H05.g	.	.	.	Zinc finger CCCH domain-containing protein 13; OsC3H13; BRI1-kinase domain-interacting protein 105; BIP105	13.2059	12.5868	12.4526	11.5129	11.849	12.864	12.0741	11.6306	12.1854	11.829	11.9363	11.8325
GS1_SS_04600_10909	SCJLRZ1023C11.g	Unknown	uncharacterized	.	RecName:Putative ubiquitin-like-specific protease 1B	8.8818		8.8316	9.3037	8.1129		9.1132	9.4195	9.3596	9.6191	9.1921	9.6909
GS1_SS_04599_03942	SCCCCL4015D04.g	.	.	.	.	8.5683		8.9004	9.8893	8.4321		7.9062	7.8276	8.1179	8.4153	7.881	8.054
GS1_SS_09605_09625	SCACLR1057C09.g	.	.	.	.	10.7015	10.8166	11.017	10.9001	10.4514	9.9468	11.5364	11.4579	12.0458	12.2627	11.9027	11.8965
GS1_SS_07074_15131	SCVPCL6044D03.g	.	.	Secondary metabolism	ferrochelatase							7.9824	8.9083	9.2417	9.3196	9.1373	8.9888
GS1_SS_09607_11013	SCCCLR1C05E09.g	Unknown	no matches	.									7.5332	7.6476	8.5629	7.1361	7.9105
GS1_SS_02196_21549	SCCCCL4008D06.g	.	.	Nucleic acid metabolism	regulation of transcription, DNA-dependent							9.2944	9.6221	10.1222	10.0348	9.9398	9.701
GS1_SS_09608_14387	SCACLR1057E10.g	.	.	.	NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 7	13.1924	13.5459	14.469	14.2256	13.7185	13.1985	14.714	14.4626	15.1064	14.4577	14.8391	14.2916
GS1_SS_02194_18868	SCEQAM1041C03.g	.	.	Development	G10 protein	10.9109	11.303	12.1664	11.4203	11.2131	10.5962	12.3987	12.3529	12.7669	12.4779	12.7512	12.4395
GS1_SS_07081_09349	SCJFLR1035F07.g	Unknown	Uncharacterized	.	Something about silencing protein 10; Disrupter of silencing SAS10; UTP3 homolog; Charged amino acid-rich leucine zipper 1; CRL1									7.7212		7.3637	7.2758
GS1_SS_04607_12110	SCQGAM2028F11.g	.	.	.	Ribokinase	9.8638	9.9874	10.7857	10.0244	9.9575	10.0038	10.5814	10.0388	10.4926	10.6485	10.3727	10.548
GS1_SS_07089_17031	SCRURT2010E09.g	.	.	Secondary metabolism	T cytoplasm male sterility restorer factor 2			8.9283	9.9762			9.8297	10.4194	10.4019	10.116	9.9136	9.6231
GS1_SS_07090_15442	SCCCLR1001H07.g	.	.	Transcription Factor	zinc finger protein	11.8765	11.895	13.2771	13.0055	12.2743	11.6318	13.7687	13.7259	13.9645	14.0849	13.8445	13.9375
GS1_SS_02206_19725	SCQGLR1085F12.g	.	.	Chromatin regulation	SET domain histone methyltransferase SUVH4 [Arabidopsis]	10.4993	10.1794	10.4213	9.6995	10.3311	10.6138	10.6564	11.2475	10.7185	11.4765	10.6227	10.7657
GS1_SS_04612_15660	SCSFRT2068G07.g	.	.	Cell cycle	Sister chromatid cohesion 1 protein 2 (SCC1 homolog 2) (AtRAD21-1)	9.9846	10.2206	11.4846	11.2355	10.4926		11.7882	11.8762	12.2071	12.605	12.0147	12.1989
GS1_SS_07083_02887	SCVPCL6045B10.g	.	.	.	Uncharacterized protein C1orf176 homolog	9.6648	9.6722	9.6056	9.9171	9.642	9.5219	9.5478	9.5089	9.7741	10.0358	9.3497	9.6817
GS1_SS_04611_12552	SCRULB1059F07.g	Unknown	Uncharacterized	Pathogenicity	R-gene							9.4642	9.2999	9.9985	9.4194	9.544	10.3952
GS1_SS_02205_14855	SCACLR1057B10.g	Cell cycle	quinase	Protein kinase	cell cycle-related							9.719	10.2685	10.8801	8.4045	10.9316	9.8946
GS1_SS_04610_15711	SCUTLR2023A11.g	.	.	Transcription Factor	AT-hook motif								6.7608	6.966	7.4445	6.8721	7.2629
GS1_SS_07084_00155	SCVPCL6045C01.g	Unknown	uncharacterized	.	.							6.9366	8.487	7.2047	9.2824	7.003	7.6123
GS1_SS_02204_03870	SCEQAM1042B03.g	.	.	.	Gamma-tubulin complex component 3 homolog; Gamma-ring complex protein 109; Xgrip109; x109p							6.8996	6.9088	7.7471		7.4357	7.3014
GS1_SS_07086_00913	SCEPRZ1008G02.g	Others	.	.	Pentatricopeptide repeat-containing protein At4g18975, chloroplastic OS=Arabidopsis thaliana GN=At4g18975 PE=2 SV=2 	9.3047	9.1326	8.9048		8.1169	8.9216	9.0083	8.7053	9.6695	9.2453	8.9898	8.986
GS1_SS_04608_11875	SCCCRZ1004E05.g	.	.	.	ATP-dependent Clp protease proteolytic subunit 2, mitochondrial; Endopeptidase ClpP2; nClpP7;	10.2832	10.8821	11.5993	9.8579	10.0958	10.5504	12.1382	11.9056	13.2206	12.3844	13.0506	12.4319
GS1_SS_02202_10050	SCBGLR1099A01.g	Unknown	uncharacterized	.	.	9.3131		8.9676		8.6084		8.6083	8.7386	9.1782	10.0377	9.4192	10.2172
GS1_SS_42568_16742	SCACFL8022D02.g	.	.	Secondary metabolism	Yippee-like protein			9.5746	10.5139	8.8382		9.9295	9.2797	9.8388	9.1201	9.3965	9.3639
GS1_SS_42367_14770	SCAGFL8004F02.g	.	.	Transcription Factor	Others							8.2807	8.1542	9.0726	8.7332	8.9628	8.4779
GS1_SS_42438_16418	SCUTSD1025H06.g	.	.	Protein metabolism	40S ribosomal protein S17 (CRP3)							7.3866		6.7829		7.6921	7.1845
GS1_SS_42425_20849	SCUTSD1024A12.g	.	.	Amino acid metabolism	Proline-specific permease (Proline transport protein)	11.2905	11.03	10.2338	11.1823	10.0576	10.5103	9.7935	8.4974	8.5028	8.8887	8.0471	7.9016
GS1_SS_02210_04980	SCJFRZ1007E10.g	.	.	.	CDP-diacylglycerol-inositol 3-phosphatidyltransferase 1; Phosphatidylinositol synthase 1; PtdIns synthase 1; PI synthase 1; AtPIS1	12.7677	12.4961	12.9903	13.211	12.3281	12.1702	12.925	12.4726	13.2867	12.8222	12.7835	12.8076
GS1_SS_04620_18202	SCCCLR1066H09.g	Others	Alcohol dehydrogenase	Carbohydrate metabolism	Pentose and Glucuronate interconversions	11.2295	11.3293	12.6057	10.2726	11.5555	11.1249	12.7736	13.2497	13.3539	13.2495	13.5172	13.1246
GS1_SS_02209_20527	SCEQAM1042D12.g	Signal Transduction	Kinase	Receptors	Putative wall-associated protein kinase							7.7973	7.5517	7.2543			
GS1_SS_04618_17540	SCQGLR1062D05.g	.	.	Transcription Factor	SBP (squamosa promoter binding protein)	11.88	11.7185	11.7437	11.7205	11.3903	11.1808	12.29	12.0886	12.6948	12.7836	12.5967	12.7524
GS1_SS_04616_10915	SCJFRT2057H11.g	.	.	.	RecName:Putative lipid-transfer protein DIR1; AltName:Protein DEFECTIVE IN INDUCED RESISTANCE 1; Flags: Precursor							10.5173	9.9373	13.4524		12.2272	10.1906
GS1_SS_02208_16692	SCAGLR2033D11.g	.	.	Protein metabolism	Ribosomal protein L3	9.7415	10.4567	10.1466	10.0633	9.1556	10.7533	10.7225	10.9201	11.1162	11.3789	11.4829	11.0413
GS1_SS_02207_12204	SCEQAM1042D05.g	.	.	.	Vacuolar-sorting receptor 3; AtVSR3; Epidermal growth factor receptor-like protein 2a; AtELP2a; BP80-like protein a; AtBP80a;							8.8583	9.6411	10.0764	9.8435	9.7987	9.6896
GS1_SS_07093_18924	SCVPCL6045H11.g	.	.	Protein kinase	RLCK			9.0505		8.0523		10.4636	10.3978	10.8958	11.2175	10.8762	11.2484
GS1_SS_07094_18544	SCVPRZ2043E04.g	.	.	Transcription Factor	SBP (squamosa promoter binding protein)	9.4069	9.0973	10.102	12.1344	9.1396	9.1834	11.1459	11.4009	11.5693	11.8693	11.5225	11.5476
GS1_SS_07096_04840	SCACLR1126F11.g	.	.	.	.	11.6169	10.7971	11.0258	11.1483	10.9775	11.2199	10.3883	9.9698	10.3491	10.0585	9.8722	10.0318
GS1_SS_02211_11007	SCEQAM1042E06.g	.	.	.	.								6.6521	7.5764	8.1885	7.6776	7.5556
GS1_SS_09564_12272	SCCCCL4010D05.g	.	.	Protein metabolism	60S ribosomal protein L15	14.094	14.5916	14.6992	16.072	14.9118	15.0801	15.1043	14.4829	14.95	16.18	14.7325	15.2906
GS1_SS_07023_01108	SCCCCL3002F05.b	Unknown	uncharacterized	.	RecName:ESX-1 secretion-associated protein EspI					8.3838		8.245	10.4907	10.6334	9.793	9.6042	9.6731
GS1_SS_07027_09043	SCVPCL6040B01.g	.	.	.	.	9.9333	9.8705	9.2867	9.7595	8.7658	9.9189	9.5116	9.116	9.7993	10.3334	9.7334	10.0124
GS1_SS_09565_20773	SCVPLB1020E11.g	.	.	Stress	DNA repair								7.3053	8.6341	7.4609	7.7318	7.0768
GS1_SS_09566_08962	SCVPLB1020G06.g	Unknown	.	.	.	12.1088	14.0257	11.1993	11.0808	10.6567	9.8166	10.3847	10.4345	10.5734	9.4355	10.1877	9.6102
GS1_SS_07030_15651	SCVPCL6040C10.g	.	.	Nucleic acid metabolism	Nucleotide metabolism							7.2694		7.1772		7.1068	6.9823
GS1_SS_09568_10302	SCVPLR2005B02.g	Light harvesting	Uncharacterized	.	PsbP domain-containing protein 1, chloroplastic; PsbP-related thylakoid lumenal protein 1; OEC23-like protein 3;	12.795	11.4291	12.8028	10.3331	11.6339	13.221	8.2132	8.2029	8.3123		7.0586	7.4754
GS1_SS_04558_08744	SCCCCL4009B01.g	Unknown	uncharacterized	.	Uncharacterized protein At4g06744;							10.8311	11.2917	11.9941	11.9516	12.2905	12.2374
GS1_SS_04554_18729	SCMCRT2102H03.g	.	.	Transcription Factor	Alfin-like	10.7221	10.9701	10.5353	11.6432	9.7814	9.9712	10.175	9.9146	10.3585	10.4207	10.2264	10.2124
GS1_SS_09563_08421	SCVPLB1020F03.g	Unknown	no matches	.		10.5585	11.2402	11.3449	11.362	10.5245	10.772	9.7633	9.9621	10.2409	10.1683	10.0549	9.7443
GS1_SS_09573_15336	SCCCLR1001A11.g	.	.	Stress	wound-induced	9.7633	9.1703	10.3757	9.0206	10.2379	9.9119	10.476	10.1112	10.6803	10.7483	10.019	10.6123
GS1_SS_04564_21611	SCUTAM2005B05.g	Unknown	uncharacterized	No matches	non-coding	8.5477		8.915	8.7721	8.4978	8.2969	8.2996	7.5611	8.0041		7.5606	8.173
GS1_SS_07039_21474	SCVPCL6041A03.g	.	.	Amino acid metabolism	tRNA synthetase class I (C) family protein	9.8137	9.7441	9.9018	9.6696	9.2559	9.8393	10.3814	9.8525	10.4099	10.4375	10.1808	10.2131
GS1_SS_04563_14400	SCCCLR1022D09.g	Unknown	uncharacterized	.	.	10.2243		11.0685	11.8998	9.8313	10.9706	14.2921	14.3938	14.0653	14.7088	13.4525	14.302
GS1_SS_04561_05318	SCSGFL1075F07.g	.	.	.	UPF0176 protein RHE_CH03638	9.9501	10.185	10.9591	9.2961	9.8798	10.1174	10.7444	10.5045	11.3258	11.1449	11.0189	10.9214
GS1_SS_04560_20331	SCCCAM2002D05.g	.	.	Stress	Viral protein TPX							8.1701	8.5658	8.9184	8.967	8.7447	8.4068
GS1_SS_09569_08775	SCVPLB1020H08.g	.	.	.	.		8.4082		8.8357			7.878	7.2574	7.4487	7.8461	7.4123	7.2712
GS1_SS_07033_20258	SCCCST1004A02.g	.	.	Development	Hypothetical protein (Putative RING zinc finger protein)	12.5786	12.5732	13.2037	12.6324	12.0779	12.0881	13.1091	12.9691	13.242	12.9301	12.8506	12.8795
GS1_SS_04574_16336	SCQGAM2026G09.g	.	.	Protein kinase	Undefined		8.5988			8.1906		8.0998	7.8034	7.7386	8.0425	7.4558	7.4966
GS1_SS_07036_04882	SCMCRT2104B07.g	.	.	.	RecName:Potassium/sodium hyperpolarization-activated cyclic nucleotide-gated channel 2; AltName:Brain cyclic nucleotide-gated channel 2; Short=BCNG-2			8.8558		8.4411	8.8209	9.0924	8.9025	9.1477	9.9185	8.901	9.1377
GS1_SS_09570_19020	SCCCLR1001A01.g	.	.	Protein metabolism	Stromal cell-derived factor 2 precursor (SDF-2)	11.7882	11.8271	12.0858	11.4093	11.7971	10.8049	12.2737	11.9596	12.2894	12.3152	12.5304	12.6981
GS1_SS_09571_15999	SCCCLR1001A02.g	.	.	Protein metabolism	COP9 protein (FUSCA protein FUS7)	12.0252	12.2663	12.0294	10.8076	11.0694	11.9109	11.7154	11.4006	11.9687	11.7118	11.7527	11.4089
GS1_SS_04567_20738	SCEZRZ1014H01.g	.	.	Transporters	Transmembrane amino acid transporter protein (Aa_trans)	11.0236	10.2306	10.4847	12.2988	10.1742	10.9038	10.5928	11.1535	11.2023	11.237	10.843	11.3625
GS1_SS_07037_21266	SCCCLR2C01A06.g	Others	.	Pathogenicity	R-gene	9.3992	9.2702	9.1448	10.6032	8.6685	8.3662	11.3209	11.1818	11.6293	12.3596	11.4978	12.2234
GS1_SS_09572_11377	SCCCLR1001A08.g	Unknown	uncharacterized	.	.	8.5058		9.7237	11.2688	10.1947		9.9673	11.6451	10.7084	10.1792	10.0897	10.0004
GS1_SS_07038_10129	SCAGLR2018E09.g	.	.	.	Hexokinase-8 (Hexokinase-4)	11.6246	11.232	11.2515	11.402	9.9865	11.3247	12.2298	12.5877	11.8485	12.9963	11.6276	12.3656
GS1_SS_07043_04928	SCEZLB1008C10.g	Unknown	uncharacterized	.	.	9.2378	8.6286	9.0608	8.6651	9.1621	9.7426	7.4887	6.9542	7.7691	8.2694	7.8487	8.822
GS1_SS_09578_12421	SCCCLR1001E08.g	.	.	.	Carboxyvinyl-carboxyphosphonate phosphorylmutase; Carboxyphosphonoenolpyruvate phosphonomutase; CPEP phosphonomutase							7.3004	7.1802	7.7932		7.4624	7.297
GS1_SS_07044_10527	SCVPCL6041B03.g	.	.	.	RecName:Mucin-5AC; Short=MUC-5AC; AltName:Gastric mucin; AltName:Lewis B blood group antigen; Short=LeB; AltName:Major airway glycoprotein; AltName:Mucin-5 subtype AC, tracheobronchial; AltName:Tracheobronchial mucin; Short=TBM; Flags: Precursor	9.4721	9.7638	9.8977	9.7892	9.5231	8.9738	11.6623	12.6303	12.2895	12.4165	11.9415	11.9124
GS1_SS_09580_12729	SCCCLR1001E11.g	.	.	.	Putative leucine-rich repeat-containing protein DDB0188916			8.5177		7.8499		9.5323	9.3044	9.7293	10.52	9.7834	10.3554
GS1_SS_07048_13145	SCEPRT2046C01.g	.	.	.	RecName:U2 snRNP-associated SURP motif-containing protein; AltName:140 kDa Ser/Arg-rich domain protein; AltName:U2-associated protein SR140	8.7949	8.9347		9.3268	8.3519	8.6588	9.036	7.9948	8.0485	8.8013	8.1783	8.2111
GS1_SS_09581_06022	SCCCLR1001F06.g	Unknown	uncharacterized	.	.	8.2424						7.8536	8.1513	8.4128	8.5236	7.7305	8.4863
GS1_SS_09584_07916	SCCCLR2C02B02.g	Cytoskeleton and vesicle trafficking	others	.	Reticulon-4; Neurite outgrowth inhibitor; Nogo protein		10.2193	9.1586	10.5378	9.6847		10.7685	11.7794	11.0737	11.7707	11.0887	10.7607
GS1_SS_04578_10990	SCJFST1014G01.g	.	.	.	Glutamate-rich WD repeat-containing protein 1	11.9528	12.0746	12.2233	11.2905	11.3084	12.556	12.2308	11.9893	12.8053	12.622	12.5843	11.984
GS1_SS_04577_19894	SCCCLR1C06C11.g	Carbohydrate metabolism	ligase	Carbohydrate metabolism	Citrate cycle (TCA cycle)	10.6016	11.3818	12.1417	11.8796	11.0757	9.3252	13.9837	13.8225	15.4532	13.9947	14.8873	14.149
GS1_SS_09575_15878	SCCCLR1001E04.g	Carbohydrate metabolism	carboxylase	Carbohydrate metabolism	photosynthesis (Calvin cycle)	14.9047	13.8304	15.441	9.518	14.7484	15.8819						
GS1_SS_04576_12492	SCQGAM2026G11.g	.	.	.	RecName:Serine/threonine-protein kinase fray2; AltName:STE20-like kinase fray2	12.7646	12.6133	13.5426	13.2054	12.8949	12.2977	13.0511	12.8951	13.3206	13.8594	13.4393	13.5609
GS1_SS_07042_18864	SCEQRT2093D08.g	Signal Transduction	transcription factor	Transcription Factor	hormone-related/auxin/Aux/IAA			7.8611				12.8421	13.4055	13.5426	11.0271	13.6259	12.4733
GS1_SS_09576_21512	SCCCLR1001E05.g	.	.	Protein phosphatase	serine/threonine PPM family			8.5966		7.6945	8.3922	8.5972	8.7998	8.7189	9.8833	8.5383	8.9122
GS1_SS_42093_19485	SCEZSD1082E05.g	.	.	Protein metabolism	40S ribosomal protein S7							7.0027	7.2904	7.3422	7.7244	6.8727	7.3546
GS1_SS_42094_20280	SCEZSD1082G10.g	.	.	Bioenergetics	tricarboxylic acid cycle	9.2902	8.8679	8.2749		8.1048	8.6428			6.4099			
GS1_SS_42014_16120	SCEPSD1070E11.g	.	.	Protein metabolism	Autophagy protein 8							7.7149		7.9279	10.4846	8.6289	8.6576
GS1_SS_04583_10264	SCQGAM2027C01.g	.	.	.	Uncharacterized transmembrane protein DDB_0188625;									7.1677		7.2363	7.1814
GS1_SS_04582_08474	SCQGAM2027B11.g	.	.	No matches	.							6.8488	7.4419	7.2566		7.3741	7.1908
GS1_SS_04580_10313	SCVPLR1028A05.g	.	.	.	RecName:Uncharacterized protein DDB_G0271670; Flags: Precursor	11.1521	10.9345	11.3189	11.4144	10.7131	10.8755	11.2556	11.0712	11.7575	11.6933	11.629	11.5909
GS1_SS_04579_20171	SCCCLB1C05C09.g	Unknown	others	Photosynthesis	light harvesting	9.4776	10.0093	10.461	12.3694	9.5002	9.1863	10.1239	10.6665	10.9829	10.6766	10.6129	10.2158
GS1_SS_09586_01537	SCACLR1014D06.g	Unknown	uncharacterized	.	.	11.5854	11.3846	12.3502	11.6387	13.474	12.1492				7.4782		
GS1_SS_07051_04798	SCVPCL6042A02.g	.	.	.	.							8.3535	8.9798	8.7325	7.675	8.6964	8.1816
GS1_SS_09587_09094	SCCCLR1C02E02.g	.	.	.	.			8.4878		8.3672		8.9295	10.1775	9.2725	10.596	9.2494	9.7357
GS1_SS_07052_12361	SCVPCL6042B02.g	.	.	.	Probable ATP-dependent RNA helicase DHX36; DEAH box protein 36; MLE-like protein 1; RNA helicase associated with AU-rich element ARE									6.9765		6.8142	7.0893
GS1_SS_04591_05060	SCEZLB1010E07.g	Oxidative phosphorylation	dehydrogenase	.	NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 9; NADH-ubiquinone oxidoreductase B22 subunit; Complex I-B22; CI-B22	11.7621	11.8671	12.6452	12.6686	11.7107	11.6379	13.5248	13.7196	13.7668	13.291	13.6341	13.1159
GS1_SS_09589_19425	SCCCLB1023E12.g	.	.	Receptors	receptor Ser/Thr kinase	9.3259	10.1613	9.6481		8.7765	8.5097	11.3767	11.6119	12.4554	11.763	12.2036	11.4409
GS1_SS_09528_09215	SCVPLB1016G11.g	.	.	.	RecName:Uncharacterized protein DDB_G0271670; Flags: Precursor		9.1615	10.009	10.3315	9.0357		10.7715	11.1014	11.2773	11.6499	10.7611	11.0261
GS1_SS_09530_20091	SCVPLB1017D05.g	Signal Transduction	Uncharacterized	Stress	RecName:Serine/arginine repetitive matrix protein 2; AltName:300 kDa nuclear matrix antigen; AltName:Serine/arginine-rich splicing factor-related nuclear matrix protein of 300 kDa; Short=SR-related nuclear matrix protein of 300 kDa; Short=Ser/Arg-related nuclear matrix protein of 300 kDa; AltName:Splicing coactivator subunit SRm300; AltName:Tax-responsive enhancer element-binding protein 803; Short=TaxREB803							7.8884	9.0042	8.5979	6.92	9.5409	8.2725
GS1_SS_06985_18734	SCUTCL6035D02.g	.	.	Protein metabolism	50S ribosomal protein L4	9.75	9.714	9.5145	9.5568	9.2492	9.9055	9.9021	9.6708	9.9514	10.4204	9.7511	10.0386
GS1_SS_09534_01509	SCVPLB1017B08.g	RNA metabolism	ribosomal protein	.	GTP-binding protein engA	9.1667	8.7264			9.762	9.4448	7.1408		7.1656			7.0303
GS1_SS_09544_14319	SCVPLB1018E09.g	.	.	.	Uncharacterized GPI-anchored protein At1g27950;	10.5036	10.5236	11.1112	11.6518	10.4125	10.1311	7.4105	7.6749	7.5396	8.3174	7.2735	7.4806
GS1_SS_06996_06682	SCCCLR1048G11.g	.	.	.	Probable 26S proteasome non-ATPase regulatory subunit 3; 26S proteasome subunit S3; Nuclear antigen 21D7	10.2246	10.4912	10.3886	11.7453	9.7588	9.8729	11.6554	12.1631	12.8276	12.5065	12.6606	12.1501
GS1_SS_06998_21074	SCEPAM2015G05.g	.	.	Protein phosphatase	serine/threonine PPM family	10.3758	10.238	11.2896	10.6033	11.0957	10.1135	10.5343	11.2948	10.9985	11.735	11.1624	10.8556
GS1_SS_09545_10262	SCEPRZ1011C06.g	.	.	.	.	9.91	9.8655	10.2565	10.3357	9.8465	9.5943	10.5397	10.5526	10.7069	10.927	10.5453	10.8806
GS1_SS_07003_21437	SCJLLR2020C02.g	.	.	Protein metabolism	pumilio	10.1178	10.4018	10.8264	11.6842	9.5289	9.9954	12.1584	12.237	12.2976	12.982	12.1433	12.719
GS1_SS_09546_13291	SCVPLB1018G04.g	Unknown	oxidoreductase	.	Electron transfer flavoprotein-ubiquinone oxidoreductase, mitochondrial; ETF-ubiquinone oxidoreductase; ETF-QO; Electron-transferring-flavoprotein dehydrogenase; ETF dehydrogenase;	9.851	10.3326	10.4723	13.0916	8.717	8.9794	12.105	12.9406	12.1346	13.4892	11.7172	12.3028
GS1_SS_07004_11116	SCBFRZ2045E09.g	.	.	.	RecName:AT-rich interactive domain-containing protein 1A; Short=ARID domain-containing protein 1A; AltName:BRG1-associated factor 250; Short=BAF250; AltName:BRG1-associated factor 250a; Short=BAF250A; AltName:Osa homolog 1; AltName:SWI-like protein; AltName:SWI/SNF complex protein p270; AltName:SWI/SNF-related, matrix-associated, actin-dependent regulator of chromatin subfamily F member 1	9.926	9.5852	9.9047	10.0068	9.1424	9.6137	10.0911	9.8523	10.3937	10.6111	10.3307	10.5294
