probe_name	transcript_name	function	structural	category	sub category 1	Circadian_24h.c	Circadian_24h.t	Circadian_28h.c	Circadian_28h.t	Circadian_32h.c	Circadian_32h.t	Circadian_36h.c	Circadian_36h.t	Circadian_40h.c	Circadian_40h.t	Circadian_44h.c	Circadian_44h.t	Circadian_48h.c	Circadian_48h.t	Circadian_52h.c	Circadian_52h.t	Circadian_56h.c	Circadian_56h.t	Circadian_60h.c	Circadian_60h.t	Circadian_64h.c	Circadian_64h.t	Circadian_68h.c	Circadian_68h.t
GS1_SS_12522_17499	SCCCLR2002G05.g	.	.	Nucleic acid metabolism	DNA topological change	12.186	12.1309	12.4453	12.4343	12.2773	12.3153	12.2607	12.1572	12.2205	12.2128	12.4014	12.4844	12.2268	12.3141	11.868	11.9065	12.2997	12.4203	12.1761	12.1983	12.2705	12.2954	12.2282	12.1595
GS1_SS_15096_04782	SCQSLB1049F05.g	.	.	.	RecName:Myb-binding protein 1A-like protein	9.8145	9.2437	10.2308	9.8738	10.0814	10.4231	10.0256	10.4525	10.2329	10.2689	10.2589	10.0734	10.2135	9.8559	9.8522	9.7335	10.1143	10.3667	10.2201	10.5158	9.9335	10.0509	10.2929	9.9511
GS1_SS_15094_09466	SCCCLR1068F12.g	DNA metabolism	.	.	Histone H3.2 Histone H3.2 Histone H3.2 (Histone H3.1) Histone H3.2 Histone H3.2 Histone H3.2 Histone H3.2 Histone H3.2 Histone H3.2	11.734	11.2557	12.3308	12.4429	12.0818	12.2378	11.9555	12.1961	11.9829	12.2794	12.3506	12.1064	11.9985	11.3995	11.5057	11.2666	12.1151	12.0815	12.0474	12.4021	11.9079	12.0656	11.9873	11.9385
GS1_SS_12518_01493	SCJLRT1018E09.g	Unknown	uncharacterized	.	.	11.9646	12.7713	12.2131	12.5916	11.8948	11.5318	11.9657	11.0255	11.8976	11.776	12.2643	12.6536	11.9124	12.589	11.8537	12.0538	12.3159	11.699	11.9551	11.1753	11.9471	11.8138	11.9871	12.1259
GS1_SS_15090_10125	SCJLRT1019H05.g	.	.	Small GTPases	ARF (ADP-ribosylation factor)	10.6408	10.5272	10.9697	10.8926	10.6561	10.6693	10.7706	10.7877	10.4545	10.5203	10.7776	10.7943	10.6607	10.4929	10.2653	10.4114	10.6284	10.8309	10.569	10.5573	10.744	10.6267	10.4836	10.6097
GS1_SS_12517_20554	SCCCLR1078F12.g	.	.	Amino acid metabolism	Glutathione S-transferase GST 18 (EC 2.5.1.18)	7.6726		7.8405	7.1387	8.0407	8.2173	7.9886	8.4636	8.023	8.1619	7.6956	7.9677	7.8721	8.0085	8.1025	7.6392	7.2268	7.6695	7.7875	8.0438	7.8148	8.0426	7.6738	7.2645
GS1_SS_12516_13316	SCJFRZ1007G01.g	Unknown	.	.	.	13.0855	12.7824	13.8176	13.4991	13.5593	13.9721	13.1516	13.1699	13.6175	13.7401	13.4736	13.224	13.5055	13.2295	12.8028	12.7195	13.6743	13.7225	13.5297	13.7807	13.1982	13.0862	13.2483	13.153
GS1_SS_15089_17943	SCUTRZ2024D10.g	DNA metabolism	uncharacterized	Nucleic acid metabolism	regulation of transcription, DNA-dependent	8.6129	8.5373	8.998	9.1252	8.7122	8.83	8.7847	9.0524	8.4919	8.7706	8.709	8.8471	8.6126	8.9355	8.7536	8.3807	8.8757	8.9816	8.5853	8.7003	8.5704	8.4662	8.6465	8.3986
GS1_SS_12513_13133	SCJLRT1018C09.g	.	.	.	.	7.4577	8.0993	7.841	7.8524	7.8912	7.6524	7.9478	7.6354	8.0956	7.9962	7.662	7.9734	7.6351	7.3811	7.7898	7.3917	7.6899	7.6472	7.3782	7.499	7.6569	7.5813	6.9678	7.1216
GS1_SS_15088_14038	SCCCRZ2C02D10.g	Unknown	uncharacterized	.	RecName:Serine/arginine repetitive matrix protein 2; AltName:300 kDa nuclear matrix antigen; AltName:Serine/arginine-rich splicing factor-related nuclear matrix protein of 300 kDa; Short=SR-related nuclear matrix protein of 300 kDa; Short=Ser/Arg-related nuclear matrix protein of 300 kDa; AltName:Splicing coactivator subunit SRm300; AltName:Tax-responsive enhancer element-binding protein 803; Short=TaxREB803	11.119	12.2283	11.6562	12.2313	11.4287	9.6522	11.4445	10.4961	11.0945	11.0636	11.4246	11.5512	11.4831	12.8641	11.2285	11.4302	11.4915	10.1602	11.531	10.5018	11.3606	10.8819	10.8873	11.1739
GS1_SS_12511_20548	SCCCCL4006E08.g	.	.	Amino acid metabolism	chorismate mutase	12.0738	12.6365	12.3622	12.5215	12.263	12.0528	12.2109	12.0916	12.1101	12.1157	12.0804	12.2425	12.171	12.3368	11.9569	11.8215	12.2373	12.2208	12.0623	11.8685	12.0574	12.4043	11.9522	11.6936
GS1_SS_08143_11998	SCJLHR1027A10.g	Others	uncharacterized	.	PsbP domain-containing protein 6, chloroplastic; OEC23-like protein 1;	13.4239	12.7972	13.7119	13.1173	13.2569	13.0829	13.5465	13.9982	13.3766	13.5389	13.2606	13.8706	13.2461	12.4925	13.017	12.4008	13.3665	13.1076	13.1933	13.4874	13.4071	13.8431	13.1037	13.0811
GS1_SS_10605_04124	SCEPRZ1008A10.g	.	.	.	Protein RSM22 homolog, mitochondrial; Methyltransferase 11 domain-containing protein 1;	8.279	8.3193	9.2995	8.8951	9.1164	8.7992	8.7193	8.9385	9.0242	9.386	8.7698	9.171	9.0404	9.0764	8.8067	8.7257	9.0172	8.9362	9.058	9.2747	8.6988	8.9464	9.0911	8.5795
GS1_SS_08131_04436	SCJLHR1025C07.g	Unknown	.	.	.	11.2658	10.798	11.8477	11.5131	11.5464	11.7638	11.524	11.8739	11.5683	11.7532	11.7271	11.6001	11.5559	11.2298	11.1832	11.1694	11.8043	11.7189	11.6505	11.7758	11.4069	11.5792	11.5762	11.5937
GS1_SS_08133_09372	SCSFHR1044F03.g	.	.	.	Protein SYS1 homolog	10.7652	10.7627	10.7079	10.9563	10.5044	10.5701	10.967	10.8258	10.3968	10.3836	10.9684	11.1551	10.4296	10.7119	10.6915	10.6525	10.6455	10.9132	10.459	10.4086	10.8904	10.7459	10.87	10.8313
GS1_SS_10602_12928	SCJLLR1033C06.g	Signal Transduction	transcription factor	.	MYB-like protein	13.8567	13.6938	14.156	14.1246	13.9327	14.0195	13.9412	13.9572	13.7903	13.8173	13.9469	13.7353	13.8806	13.917	13.6818	13.6963	14.092	14.2446	13.8321	13.8238	13.796	13.9141	13.7478	13.6627
GS1_SS_10607_08372	SCCCRT1003A09.g	.	.	.	.	11.2055	11.3962	11.7397	11.8047	11.4391	11.5369	11.5	11.4209	11.4415	11.4507	11.6367	11.6552	11.5083	11.5266	11.1001	11.1921	11.5477	11.4952	11.3925	11.2495	11.4507	11.4728	11.5397	11.5266
GS1_SS_08141_15276	SCCCRZ1004C05.g	DNA metabolism	uncharacterized	Nucleic acid metabolism	nucleosome assembly	7.5809	6.7596	7.7949	7.2833	7.429	7.9717	7.8441	8.4538	7.6202	7.3894	7.5354	7.3197	7.5387	6.895	7.8163	7.2919	7.609	7.5986	7.0197	7.5469	7.5026	7.5537	7.5863	7.32
GS1_SS_10606_05693	SCRFLR1012G01.g	RNA metabolism	.	.	UPF0666 protein C2A9.11c	7.5884	7.551	7.9134	7.8412	7.7359	7.7253	7.6909	7.5267	7.3933	7.5375	7.5473	7.8841	7.4312	7.5435	7.6973	7.2789	7.8183	7.9214	7.7042	7.6256	7.448	7.7227	7.6666	7.3968
GS1_SS_08342_14192	SCCCCL3002D01.b	.	.	Carbohydrate metabolism	Beta-galactosidase			7.173	7.0921	7.0712	7.3948	6.6246	6.7132	6.9368	7.0774	7.2073	7.189	7.0735	6.9649	7.1781	7.1082	6.9651	6.9631	6.9086	7.2179	6.7554	6.6662	6.9536	6.9326
GS1_SS_08343_13929	SCCCLR1079E05.g	.	.	.	Polyadenylate-binding protein 2 (Poly(A)-binding protein 2) (PABP 2)	13.6204	13.481	13.9845	13.7984	13.7001	13.7921	13.7446	13.7817	13.6669	13.6946	13.5785	13.6004	13.6436	13.5917	13.2148	13.2665	13.703	13.6903	13.6473	13.6842	13.6806	13.6261	13.3699	13.1143
GS1_SS_08349_19701	SCQSRT1036D12.g	Signal Transduction	transcription factor	Transcription Factor	bZIP			6.8243	6.8683	6.4255	6.5869			6.686	6.6582	6.2584	6.2592	6.7028	6.668			6.5762	6.45	6.8938	6.9527		5.9593	6.3491	6.1947
GS1_SS_08335_03755	SCRFHR1007D03.g	.	.	.	Cullin-1	7.5857	7.1752	7.9639	7.895	7.766	7.6845	7.8031	8.2231	7.5563	7.7667	7.6043	7.7376	7.478	7.7585	8.0705	7.9612	7.5844	8.2835	7.6789	7.966	7.897	7.9667	7.7784	7.2839
GS1_SS_08337_07862	SCRFHR1007D09.g	.	.	.	Probable E3 ubiquitin-protein ligase HERC2; HECT domain and RCC1-like domain-containing protein 2			6.5226	6.2264	6.4519	6.1879	5.967		5.9689	6.2821		5.9369		6.4889			5.8438	6.0299	6.5445	6.3477			5.9611	5.7724
GS1_SS_08339_09726	SCRULB1059G06.g	.	.	.	.	11.9314	12.104	12.2465	12.47	12.0106	11.8072	12.0523	12.012	12.0837	11.8303	12.0505	12.2645	12.0265	12.4855	11.9166	11.8793	12.0961	12.0436	11.9618	11.6912	11.9278	11.93	11.8878	11.9091
GS1_SS_08341_16353	SCRFHR1007E11.g	.	.	Transcription Factor	Others	6.8712	6.3251	7.4446	7.2081	7.137	7.0563	6.7973	7.0579	6.9094	6.9745	7.1799	7.2215	7.2651	6.9657	7.8519	7.8806	6.9927	6.9627	7.4865	7.3796	6.702	7.0417	7.2268	6.924
GS1_SS_08330_08470	SCRFHR1006D06.g	.	.	.	RecName:Uncharacterized protein LOC284861			6.6804	6.4681	6.1623		6.6996	6.4991	6.0978	6.1616	6.26	6.4534	6.4825	6.3039			6.3415	6.1326	6.5053	6.4101	5.7873	6.1458	5.8813	5.8883
GS1_SS_08332_12007	SCEZLB1006C12.g	Unknown	uncharacterized	.	.	6.8909	6.5927	7.5383	7.1038	6.923	7.8054	7.0358	7.1161	7.4743	7.2167	7.4566	7.1315	7.1627	7.3917	7.7032	7.7099	7.2974	7.1024	6.9826	7.1409	7.1307	6.9928	7.413	7.0388
GS1_SS_12658_14982	SCQGRT1040D05.g	.	.	Receptors	receptor Ser/Thr kinase	8.3776	7.7826	8.4957	8.5426	8.6	8.6182	8.532	9.0519	8.2662	8.4163	8.0426	7.8923	8.4593	8.5386	8.7187	8.7063	8.4595	8.8375	8.5449	8.8678	8.477	8.514	8.1798	7.7109
GS1_SS_08308_10681	SCQSHR1024G09.g	Others	kinase/phosphatase	Receptors	Receptor Ser/Thr kinase	10.8149	11.4174	11.2283	11.3645	10.8636	10.5401	11.0476	10.6003	11.1519	10.862	11.2206	11.4139	10.9159	11.0174	10.684	10.5459	11.0921	10.6671	10.8429	10.6756	10.7829	11.2	10.5887	10.8614
GS1_SS_08310_14354	SCCCLR2001G03.g	.	.	Transcription Factor	.	8.8624	8.7075	9.122	9.2226	9.0662	9.0956	9.1102	9.2982	8.9349	9.1954	8.8408	8.9056	8.6906	8.6601	8.9854	8.546	9.1026	9.3777	8.9143	9.1994	9.0159	9.2208	8.4998	8.3904
GS1_SS_12656_18484	SCQGRT1040C06.g	.	.	Nucleic acid metabolism	Nucleotide metabolism	12.3629	11.9931	12.8315	12.5569	12.5946	12.6151	12.5519	12.8043	12.4697	12.519	12.7027	12.6774	12.4877	12.3304	11.7691	11.9383	12.5117	12.8073	12.3535	12.6585	12.4608	12.4944	12.6551	12.4069
GS1_SS_12655_08295	SCQGRT1039H03.g	.	.	.	.	6.777		7.2387	7.3574	7.5748	7.5348	6.3247	6.5736	7.3597	7.4301	6.9997	7.0605	7.3955	7.5475	7.477	7.8562	6.5434	6.959	7.6204	7.5836	6.7258	6.6575	6.7344	6.6006
GS1_SS_12654_14369	SCQGRT1039G03.g	.	.	.	Protein FBL4	10.7893	10.636	11.1042	11.0933	11.0339	10.982	10.6796	10.9554	10.8178	10.9352	11.3431	11.5094	10.9582	11.0183	10.7099	10.5017	10.9141	10.9889	11.002	10.8862	10.9013	11.1833	11.4381	11.3458
GS1_SS_12650_21203	SCJLLR1054E04.g	.	.	Unknown protein	RecName:Uncharacterized protein DDB_G0271670; Flags: Precursor	11.7642	12.4719	11.927	12.5894	11.7666	11.9665	12.0098	11.1351	11.4008	11.5241	11.5111	11.248	11.6026	12.2467	11.4387	11.7557	11.8537	11.7106	11.6788	11.263	11.7865	11.1629	11.0942	11.2392
GS1_SS_08304_04458	SCCCCL4012H12.g	.	.	.	Armadillo repeat-containing protein 8	11.2572	10.8555	11.2113	11.0117	10.9927	11.1832	11.3888	11.7455	10.7739	10.8612	11.0506	10.9349	11.1917	10.8709	11.0532	11.1567	11.0354	11.318	11.0254	11.0524	11.1838	11.3015	10.9365	10.877
GS1_SS_08305_13969	SCQSHR1024F03.g	.	.	.	Uracil phosphoribosyltransferase; UMP pyrophosphorylase; UPRTase	11.7141	11.1462	12.0384	12.4551	11.8698	11.7883	11.726	12.0219	11.6954	11.8609	11.8322	11.7227	11.9012	11.502	11.459	11.4321	12.065	12.3068	11.8686	11.9498	11.8834	11.8342	11.6801	11.7474
GS1_SS_12647_18803	SCCCCL4012B03.g	.	.	Protein metabolism	Xaa-Pro aminopeptidase 2 (EC 3.4.11.9)	8.529	7.811	8.0642	8.1831	8.276	8.1085	8.6863	9.4395	7.3047	7.8	7.7009	7.7219	7.798	7.9981	8.8312	8.6415	8.1291	8.9209	8.1522	8.3146	8.5768	8.8358	8.0581	7.5861
GS1_SS_12645_14764	SCEPLB1043F03.g	.	.	other	WD-40 repeat protein	9.0612	9.1205	9.1642	9.4184	9.2466	9.3075	9.193	9.1966	9.1515	9.091	9.37	9.3335	9.0195	9.0572	9.015	8.7822	9.0721	9.2941	9.1109	9.1873	9.1998	9.0284	9.1527	9.0113
GS1_SS_08306_18679	SCCCLR1065E11.g	Unknown	uncharacterized	Unknown protein	RecName:Protein SON; AltName:Bax antagonist selected in saccharomyces 1; Short=BASS1; AltName:Negative regulatory element-binding protein; Short=NRE-binding protein; AltName:Protein DBP-5; AltName:SON3	17.1314	14.3853	17.1417	15.7419	15.8971	17.5169	16.0898	17.2353	16.2934	16.3411	16.9634	14.6963	17.1886	14.9518	16.581	15.9506	16.0387	16.8976	16.3193	16.6462	16.4475	16.4322	16.0806	16.2976
GS1_SS_08297_10766	SCRULR1020E12.g	.	.	.	Adenosine 3-phospho 5-phosphosulfate transporter 1; PAPS transporter 1; Solute carrier family 35 member B2	11.016	10.9272	11.4421	11.3368	11.1568	11.3935	11.042	11.2489	11.0595	11.0159	11.1664	11.1913	10.9642	10.7081	10.8439	10.5716	11.3143	11.2094	10.8977	11.1135	11.0175	11.2461	11.0106	10.9856
GS1_SS_08300_11087	SCSBHR1051E11.g	.	.	.	.				5.6148	5.4314									5.55	6.5697		5.5004	5.462			5.6817	5.4872		
GS1_SS_12642_11408	SCJLLR1107G01.g	.	.	.	Auxin-induced protein PCNT115	11.9857	11.8793	12.0942	12.2616	11.93	11.8462	12.1498	12.3615	11.8133	11.6676	12.0727	12.3161	11.8082	12.0462	11.6365	11.6438	12.0382	12.3944	11.7942	12.0381	12.1417	11.9433	11.8632	11.8013
GS1_SS_12641_15144	SCCCRT2004D04.g	Others	Alcohol dehydrogenase	Nucleic acid metabolism	regulation of transcription, DNA-dependent	11.0625	10.6091	11.5239	11.4917	11.3611	11.4811	11.2512	11.5524	10.9908	11.2508	11.1992	10.9385	11.2453	10.8318	10.8975	10.9318	11.4356	11.6549	11.1429	11.4451	11.0944	11.4754	11.3202	11.0191
GS1_SS_08325_07993	SCQSLR1089D11.g	.	.	.	Uncharacterized protein C17orf48 homolog		6.2135	6.4203	6.87	6.8927	6.9379	6.6355	6.7509	6.3777	6.6705	6.258	6.1128	6.7154	6.8695	7.6509	7.8497	6.3841	6.9847	7.0514	7.086	7.0055	6.6905	6.5172	
GS1_SS_08318_20873	SCCCLR1C01B04.g	.	.	Nucleic acid metabolism	Nucleotide metabolism	9.4809	10.017	9.7522	10.4009	9.5722	9.4877	9.7989	9.5298	9.2843	9.0281	9.9736	9.9515	9.4774	10.0518	9.2889	9.6022	9.7258	9.8473	9.4999	9.2185	9.6749	9.3729	9.732	9.8899
GS1_SS_08319_14524	SCCCLR1001H02.g	.	.	.	Glycine-rich RNA-binding protein 2, mitochondrial; AtGRP2;	13.1296	11.9767	13.4504	12.3346	13.2411	13.4082	13.2252	13.9562	13.0641	13.3237	13.228	13.1002	13.1188	12.1514	12.9331	12.3372	13.2065	13.3382	13.0225	13.5069	13.1238	13.6148	13.2916	12.9457
GS1_SS_08321_07834	SCRFHR1005A09.g	Unknown	uncharacterized	.	Kynurenine formamidase OS=Geobacillus thermodenitrificans (strain NG80-2) GN=kynB PE=3 SV=1	7.5171	7.1258	7.8744	7.5382	7.6688	6.8396	7.5255	7.8984	7.3514	7.6336	7.6463	7.6981	7.578	7.7703	7.9895	7.8784	7.7275	7.7683	7.7298	7.9396	7.7508	8.0974	7.9477	7.4106
GS1_SS_08324_10087	SCJLRT1006C04.g	.	.	.	.	10.0827	10.2395	10.078	10.2461	10.0249	9.9611	10.2274	10.1255	9.7597	9.8277	9.6207	9.6966	9.7835	10.1064	9.8708	9.9777	9.914	10.1803	9.7662	9.8377	10.1485	10.0777	9.5557	9.1609
GS1_SS_08313_05913	SCVPAM1057G08.g	.	.	.	Prolyl 4-hydroxylase subunit alpha-1; 4-PH alpha-1; Procollagen-proline,2-oxoglutarate-4-dioxygenase subunit alpha-1;	8.9669	8.9999	9.4625	9.4745	9.2306	9.2973	9.1997	9.3881	9.2432	9.2863	9.5397	9.5932	9.2499	9.4001	9.2818	9.2756	9.2805	9.3064	9.2319	9.1654	9.1084	9.1819	9.48	9.4226
GS1_SS_08314_03356	SCSBFL1046F10.g	.	.	.	Exocyst complex component 2; Exocyst complex component Sec5	10.6094	10.7077	10.9976	11.0306	10.8001	10.8319	10.7345	10.8385	10.773	10.5093	10.98	11.0147	10.7968	10.9423	10.5537	10.5095	10.863	11.0922	10.737	10.8861	10.5879	10.7958	10.7904	10.7472
GS1_SS_08315_15432	SCCCLR1C01A07.g	.	.	Protein metabolism	Histone acetyltransferase type B catalytic subunit (EC 2.3.1.48)	9.5518	9.2963	9.8483	9.6365	9.5577	9.7603	9.6381	9.9243	9.4531	9.5928	9.4666	9.5507	9.4417	9.2483	9.6067	9.3091	9.6818	9.6546	9.457	9.6693	9.5871	9.8866	9.4336	9.1786
GS1_SS_08317_13576	SCRULB2062G10.g	.	.	.	Transposon Ty3-I Gag-Pol polyprotein; Gag3-Pol3; Transposon Ty3-2 TYA-TYB polyprotein;  Capsid protein; CA; p24;  Spacer peptide p3;  Nucleocapsid protein p11; NC;  Ty3 protease; PR; p16;  Spacer peptide J;  Reverse transcriptase/ribonuclease H; RT; 	7.3834	7.3933	7.848	8.0549	7.7754	7.8393	7.7799	7.6086	7.7636	7.7909	7.5399	7.661	7.7492	7.9195	8.1432	7.8085	7.6185	7.8383	7.6036	7.9051	7.5994	7.4998	7.2862	7.036
GS1_SS_08312_03098	SCQSLR1089B04.g	Transport	transporter	.	Peroxisomal adenine nucleotide transporter 1	10.6139	10.7737	10.4898	10.6872	10.5575	10.7936	10.6019	10.8018	10.2488	10.2875	10.399	10.3166	10.3857	10.3197	10.55	10.7413	10.4976	10.7903	10.5208	10.6095	10.57	10.7517	10.2511	10.1626
GS1_AS_11018_07785	SCRLLR1059C04.g	Signal Transduction	transcription factor	Transcription Factor	MYB-like protein			6.3738	5.9622	6.7087	6.2299			6.3818	6.0233	6.2836	5.82	6.8774	6.308			5.6404		7.1592	6.7378			5.8904	6.0798
GS1_AS_11013_07706	SCRLLR1059A07.g	.	.	.	Glutathione synthetase, chloroplastic; Glutathione synthase; GSH synthetase; GSH-S;			6.1129	6.2289	5.8781						5.9549	6.1087	6.521	6.5615			5.5682					5.3941	5.7151	5.6073
GS1_AS_11014_04230	SCRLLR1059B02.g	.	.	.	Serine/threonine protein phosphatase 2A 59 kDa regulatory subunit B zeta isoform (PP2A, B subunit, zeta isoform) (AtB zeta)										5.4688				5.7998					6.0858	5.8815				
GS1_AS_11079_00930	SCEPRT2043C10.g	.	.	.	Probable histone acetyltransferase HAC-like 1			7.4773	7.4898	7.7202	7.6267			7.5595	7.2747	7.9257	8.0561	8.0406	7.8307			6.5965	6.5258	8.3268	8.2914	6.1039	6.2109	7.2234	7.5919
GS1_AS_11073_16643	SCCCLR1C02F08.g	DNA metabolism	SSB	Nucleic acid metabolism	DNA replication					6.1536	6.2429				5.8182	6.0178			6.6535					6.9425	6.7207				
GS1_AS_11043_21132	SCRLLR1109H08.g	Unknown	no matches	No matches	.	6.9519	6.7249	7.3823	7.1399	7.0669	7.0446	7.0478	7.4412	7.0668	6.8045	7.281	7.0625	7.1037	6.9744	8.3757	9.0561	7.2712	6.9798	6.8884	7.6309	6.6243	6.7827	6.7495	7.154
GS1_AS_11050_16266	SCJLRT1021D02.g	.	.	Protein metabolism	Tyrosyl-tRNA synthetase (EC 6.1.1.1) (Tyrosyl--tRNA ligase) (TyrRS)			6.0167							5.4339		5.7802			7.413		5.7291				5.8633	6.0785		
GS1_AS_11036_19502	SCJLRT1006D09.g	Others	cytochrome P450 family protein	Stress	Cytochrome P450				5.977						5.9835		6.1821		6.134				6.1326					5.9176	5.9952
GS1_AS_11053_02239	SCRFLR1012H01.g	.	.	.	Reticulon-3-A; RTN3.1			6.2343	6.3764	6.5449	6.6308			6.6951	6.314	6.8279	6.7966	6.7197	6.801			6.2123	5.9196	6.9398	6.9475		5.4702	6.2779	6.6496
GS1_AS_11099_05470	SCCCLR1C03A01.g	.	.	.	Carotenoid isomerase, chloroplastic; CrtISO;			5.7198	5.7835		5.9237				5.5811				5.8413										
GS1_AS_11115_16973	SCSGLR1045A02.g	AminoAcid and nitrogen metabolism	hydrolase	Nitrogen metabolism	Urease (EC 3.5.1.5) (Urea amidohydrolase)	7.7703	8.2249	8.4862	8.4379	8.275	8.0206	8.0075	7.3272	8.6547	8.1788	8.2703	8.7302	8.2304	8.6293	7.9803	7.7192	8.2248	7.8557	8.1934	7.9295	7.9142	8.1153	7.8983	8.0041
GS1_AS_11101_17758	SCSGLR1025B04.g	.	.	Transcription Factor	WRKY			6.5981	6.1497	6.0992	6.2676			6.3302	5.7529	5.9351	6.0602	6.2842	6.1206	6.7281		5.7748	5.9794		6.1429	5.8399	5.8784		6.1551
GS1_AS_11103_18808	SCSGLR1025B10.g	Signal Transduction	kinase/phosphatase	Receptors	receptor Ser/Thr kinase		6.6366	7.1096	6.5161		6.7808	6.7783	6.7438	6.6386	6.0719	6.5583	6.3578	6.5868	6.3072	7.2759	7.0194	6.5625	6.6181	6.0362		6.6726	6.6446	6.2165	6.9825
GS1_AS_11094_18883	SCSGLR1045F04.g	AminoAcid and nitrogen metabolism	dehydrogenase	Carbohydrate metabolism	3-isopropylmalate dehydrogenase			6.2036	5.3926	5.7085			6.3987		5.6292				5.6765	6.4082		5.5976			5.9027		5.6831		5.8259
GS1_AS_11085_14988	SCRULB1059F02.g	Others	.	Nucleic acid metabolism	regulation of transcription, DNA-dependent			7.1575	7.199	6.7138	6.7992				6.3848	7.0967	7.2994	6.8236	6.708	6.438		6.6746	6.5593	7.1254	7.1318	6.4656	6.2427	6.6528	6.7797
GS1_AS_06246_07323	SCCCCL5004F08.g	.	.	.	RecName:Putative protein TPRXL				5.9501						5.7799									6.3601	6.4047				
GS1_AS_11141_04576	SCSGLR1084A02.g	Others	methyltransferase	.	Probable methyltransferase Y17G7B.18	8.6774	7.9074	9.5794	10.4072	9.3025	9.7474	8.1424	8.0556	8.3037	8.3589	9.6959	8.3311	9.0741	8.2632	9.02	9.4227	9.2943	9.9231	9.4404	9.197	8.8597	7.7424	8.2806	9.5173
GS1_AS_11166_03258	SCCCRT1003A08.g	.	.	.	.		6.6909	5.7396	7.1785	5.9813						5.6528	5.6421	6.1151	6.7731					6.2782	6.0806				5.6565
GS1_AS_06281_04910	SCCCCL6001B02.g	.	.	.	.		6.4209	7.7253	7.5799	7.9439	7.593			7.4293	7.0469	6.4525	6.4046	7.6036	7.4307			6.6408	5.9111	7.9769	8.3919			6.2232	6.1227
GS1_AS_06293_15071	SCCCLR1C07G01.g	.	.	Bioenergetics	Proteasome subunit beta type-3; 20S proteasome alpha subunit C; 20S proteasome subunit beta-3			6.2222	5.5705	5.5374								5.7507		6.84		5.7541					5.7466		6.0097
GS1_AS_11170_01160	SCUTLR1037C01.g	Unknown	uncharacterized	.	.	9.0739	8.9403	9.4289	9.4854	9.2642	9.5553	9.2814	9.243	9.3044	9.38	9.4492	9.5527	9.2235	9.4714	9.084	8.9345	9.3616	9.5639	9.3983	9.4523	9.3039	9.1262	9.129	9.2275
GS1_AS_06277_02265	SCCCCL5072H10.g	.	.	.	Protein IQ-DOMAIN 1					5.6134					5.1367					7.2784			5.7313					5.9887	6.0803
GS1_AS_11150_03062	SCSGLR1084H03.g	.	.	.	Probable replication factor C subunit 3; Activator 1 subunit 3			7.0446	7.0621	7.1857	7.2018			7.1266	7.2317	6.9775	6.9465	7.3214	7.3706	6.6892	6.7659	6.5557	6.6707	7.7057	7.7828	6.0473	6.6243	6.6124	6.4908
GS1_AS_11152_07957	SCJFRZ2026F03.g	.	.	.	.			6.3941	6.4058	5.8654	6.2296			6.1052	6.1568	5.9875	5.837	6.3187	6.5319			5.7801	5.7174	6.5347	6.3552	5.484		5.7198	5.8815
GS1_AS_11209_00537	SCVPLR1028D12.g	Unknown	Uncharacterized	.	.			6.602	7.1147	6.7294	7.0519		6.2312	6.2525	6.2238	6.7093	6.3689	6.6941	6.4843	6.9107	7.2554	6.218	6.6537	7.1126	7.1039	6.0823		5.8472	6.6701
GS1_AS_11192_05307	SCCCLR1C05G10.g	.	.	.	.			5.8503	6.5255	5.8003	6.0788				5.6326	6.1874	5.7161	5.844	6.2029					6.097	5.9487			5.2984	
GS1_AS_11193_01878	SCUTLR1058H04.g	Unknown	uncharacterized	.	.			7.0933	6.9811	6.8145	6.8288			6.9464	6.9866	7.4268	7.8988	6.9876	6.8716	7.221	7.4706	6.5057	6.3388	7.0067	7.0034	6.1809	6.4002	7.3454	7.5191
GS1_AS_11229_20870	SCCCLR2001F05.g	AminoAcid and nitrogen metabolism	synthase	Amino acid metabolism	Delta 1-pyrroline-5-carboxylate synthetase (P5CS)			6.1083	6.0797	6.843	6.9031			6.2202	6.2573	6.1608	6.4274	6.74	6.5296			6.0804	5.9466	6.7743	6.8225	5.6415	5.7995	5.9066	5.9252
GS1_AS_11220_05283	SCVPLR1049E09.g	.	.	.	ADP-ribosylation factor-related protein 1; ARF-related protein 1; ARP ADP-ribosylation factor-related protein 1; ARF-related protein 1			6.9765	6.6586	6.4416	6.9517			6.602	6.4499	6.7505	6.9116									6.157	6.0411	6.303	
GS1_AS_06338_21106	SCACCL6006D08.g	.	.	Unknown protein	Ras-related protein Rab11D			6.2088	6.4839	6.5935	6.3729			6.1531	6.3868	5.9078	6.0726	6.3976	6.787			5.4558	5.4988	7.0363	6.9161			5.9011	
GS1_AS_06322_07700	SCCCCL6002H04.g	.	.	.	.			6.228	5.9897	6.4783	6.4627			6.4064	6.2692		6.6255		6.3197					6.6479	6.8195			5.8081	6.0257
GS1_AS_11187_21580	SCCCLR1C05D10.g	.	.	Pathogenicity	.										5.9435									6.2494	6.354				
GS1_AS_06374_16868	SCCCCL4009H08.g	.	.	Transcription Factor	hormone-related/ethylene/AP2/EREBP			6.2668	6.3342	6.6492	6.8902			6.7246	6.331	6.8773	6.6572	7.1997	6.8238			5.7391		7.0767	7.1024			6.4122	6.4001
