probe_name	transcript_name	function	structural	category	sub category 1	15S_E1.1.C_C.030409_0.96.c	15S_E1.1.C_C.030409_0.96.t	15S_F1.1.C_C.030409_0.96.c	15S_F1.1.C_C.030409_0.96.t	36S_E1.1.C_C.030409_0.96.c	36S_E1.1.C_C.030409_0.96.t	36S_F1.1.C_C.030409_0.96.c	36S_F1.1.C_C.030409_0.96.t	79S_E1.1.C_C.030409_0.96.c	79S_E1.1.C_C.030409_0.96.t	79S_F1.1.C_C.030409_0.96.c	79S_F1.1.C_C.030409_0.96.t
GS1_SS_40804_16995	SCQSRT3053B03.g	Unknown	no matches	No matches		11.6091	11.7058	12.7817	12.1897	11.07	11.6924	11.1842	12.3037	11.1727	11.3544	11.9665	11.4062
GS1_SS_04490_04974	SCEPAM1054E01.g	.	.	.	.	12.8216	13.1755	12.0367	12.2557	13.0659	13.4055	12.2269	12.6381	13.1996	13.4213	12.1061	12.5384
GS1_AS_08434_18374	SCCCLR1024H11.g	.	.	Stress	RecName:Auxin-repressed 12.5 kDa protein	6.709	8.0324	6.4884	7.5815	7.4879	7.8471	8.2273	7.8674	7.1888	8.4664	7.4129	8.5492
GS1_AS_08397_05481	SCQGST1031G09.g	.	.	.	Protein VERNALIZATION INSENSITIVE 3	6.6354		6.4859	6.5553	6.8143			7.029	8.3913	8.0516	7.3333	7.1672
GS1_AS_08402_05220	SCSFST1066F12.g	RNA metabolism	.	.	LSM14 protein homolog A (Protein FAM61A)					6.332	6.6236		6.0116				
GS1_AS_08381_15734	SCEQRT2097C12.g	Signal Transduction	transcription factor	Transcription Factor	Transcription factor RF2b	7.2751	7.3544	7.4188	7.4882	7.5299	7.187	8.6075	7.7298	8.5157	8.2124	7.9023	7.7899
GS1_AS_08393_19842	SCRUHR1076D06.g	.	.	Stress	DNA repair	7.2704	7.5417	7.2758	7.3386	7.2615	7.2021	7.9751	7.5875	8.442	8.293	8.0407	8.0526
GS1_AS_08428_20367	SCSBHR1052C05.g	.	.	Inositol	other	6.6783		6.1211		6.6501			7.0528	6.8812		7.0192	6.749
GS1_AS_08446_07023	SCCCCL4007H10.g	.	.	.	.	6.2609	7.4005	6.2074			7.5263		7.2306	7.0227	8.648		
GS1_AS_08468_02507	SCSFHR1045H06.g	Cytoskeleton and vesicle trafficking	.	.	PRA1 family protein H; AtPRA1.H	9.351	9.3991	9.3871	9.2887	9.3127	9.4689	10.2165	9.5582	10.2991	10.4751	9.8828	10.058
GS1_AS_08459_17288	SCSFHR1042G09.g	.	.	Protein kinase	casein kinase	6.3105		6.4048	6.8591	6.4677	6.4423			7.2643	7.8027	7.3869	7.4855
GS1_AS_08460_07269	SCSFHR1043D12.g	.	.	.	.	6.6383		6.6039	7.2562	6.7835	6.8822	7.6969	7.1554	7.3701		7.2555	7.7687
GS1_AS_08522_15104	SCRFLR1055G12.g	.	.	Protein kinase	cell cycle-related									7.1393	7.5768		
GS1_AS_08529_16723	SCEZLB1007E09.g	Others	AMP dependent CoA ligaseCell wall	Secondary metabolism	Acyl-CoA synthetases (AMP-forming)/AMP-acid ligases II	6.3137	7.1499			7.5495	8.6712		8.1881	6.8357	8.1122		
GS1_AS_08521_03334	SCMCRT2103G09.g	Unknown	.	.	.	13.8559	15.7877	10.9385	11.9096	13.8332	16.3732	11.6847	11.8569	13.8119	16.3179	11.4443	12.3192
GS1_AS_08510_00344	SCSGHR1067E12.g	Unknown	no matches	.	.	8.7572	8.841	8.023	7.5039	7.8049	8.5996		7.9386	8.4463	8.7994	7.6002	6.9861
GS1_AS_08516_07697	SCJLFL1051C10.g	Cytoskeleton and vesicle trafficking	.	.	ADP-ribosylation factor GTPase-activating protein AGD12; Protein ARF-GAP DOMAIN 12; AtAGD12; Zinc- and calcium-binding protein; AtZAC	8.5818	8.4503	7.8525	7.7979	8.6134	8.7163	8.0837	7.8773	8.8056	8.6125	7.8892	8.0172
GS1_AS_03841_01256	SCRFLB1053A11.g	.	.	.	RecName:Protein TIC 20-I, chloroplastic; AltName:Translocon at the inner envelope membrane of chloroplasts 20-I; Short=AtTIC20-I; Flags: Precursor	7.0104	6.7485	7.7293	7.6668	7.2776	7.0457	8.1147	8.0679	8.3232	8.3809	8.4998	8.1282
GS1_AS_08535_02311	SCJFRZ1005F10.g	Others	hydrolase	.	Abhydrolase domain-containing protein FAM108C1		6.6962	9.6527	8.6535		6.8117	9.92	10.2795			9.1196	8.1897
GS1_AS_03810_04843	SCQSRT1034G12.g	.	.	.	.									6.9463	7.3827		
GS1_AS_03809_05157	SCEPRZ3046G08.g	Signal Transduction	transcription factor	.	Indole-3-acetic acid-induced protein ARG7			6.7562				8.1301				7.4925	7.8758
GS1_AS_03823_16488	SCCCST3002E03.g	Transport	.	Carbohydrate metabolism	Glucose-6-phosphate-isomerase			6.3427	6.4592				6.3418	6.6387		6.4341	8.1059
GS1_AS_08536_14762	SCCCCL4002C08.g	.	.	Protein metabolism	Ribosomal protein S10	6.3386										6.6099	7.6202
GS1_AS_03866_07415	SCBFAM2118D12.g	.	.	.	RecName:Vasodilator-stimulated phosphoprotein; Short=VASP	6.6252	7.1551	6.6799	6.3021	6.3561	6.6213	7.9726	7.1989	7.6651	7.8777	7.0781	7.0136
GS1_AS_03842_16442	SCCCRZ2002D02.g	.	.	Cell cycle	Similar to translational activator		6.5173		6.4599	6.218	6.4366		6.5245			7.5037	8.3414
GS1_AS_03850_16319	SCEZAM2032C05.g	.	.	Protein metabolism	pumilio	6.0533		6.3203		6.0028				7.2998	7.5669	6.7505	
GS1_AS_08569_17688	SCAGRT2039C01.g	.	.	Cell cycle	FK506-binding protein	6.5477	6.7383	5.9713	6.2398	6.7526	7.0392	7.4979	6.7458	6.9152			7.1414
GS1_AS_08597_20429	SCAGLR2011H07.g	Redox metabolism	uncharacterized	Stress	thioredoxin								6.1195			6.3445	6.6735
GS1_AS_03896_06497	SCEPRZ1010F09.g	Signal Transduction	kinase/phosphatase	Inositol	Inositol kinase	6.343				6.1687				7.6997	7.5297	6.794	
GS1_AS_03869_17162	SCEQAM2036B02.g	.	.	No matches	.	6.7594		6.4981	6.3072	6.6182				7.9793	7.9216		6.8882
GS1_AS_08584_20663	SCCCRZ2C03C05.g	Protein metabolism	chaperon	Protein metabolism	Chaperone protein dnaJ	6.7054		6.3572	7.2466	6.3	6.5241	8.4403	7.2719			7.3541	8.4451
GS1_AS_08638_16998	SCEPLB1044F08.g	Unknown	.	No matches	.	11.6227	11.4326	12.689	12.4555	12.3372	11.9272	12.2465	12.2237	12.2985	12.7179	12.6665	12.2109
GS1_AS_03935_06277	SCBGLR1003D07.g	Signal Transduction	.	.	Protein-tyrosine phosphatase mitochondrial 1-like protein; PTEN-like protein;	6.4785		6.6395	7.0488	6.3141		7.8634	7.2079			6.5485	
GS1_AS_08634_06139	SCSGHR1071C01.g	.	.	Carbohydrate metabolism	Starch and sucrose metabolism	9.316	10.2788	7.0997	7.6755	8.485	10.2996	8.4577	7.5054				
GS1_AS_08613_17674	SCUTLR1037E04.g	Signal Transduction	kinase/phosphatase	Protein kinase	SNF-like kinase		7.0494		6.4028	6.215	6.7512		6.2538			7.0614	7.4329
GS1_AS_08660_04950	SCQGLR2017E09.g	Unknown	.	.	RecName:Sulfated surface glycoprotein 185; Short=SSG 185; Flags: Precursor	11.8714	11.3332	6.6345	6.9699	13.2291	12.1688	9.9051	7.9997	11.5858	11.3437	8.8017	9.8658
GS1_AS_03954_06360	SCEPAM2012H05.g	.	.	.	.	6.512		6.5206		6.3996				7.7853	8.2609	6.9236	
GS1_AS_08654_04489	SCMCST1051H01.g	.	.	.	.	7.8372	7.9758	10.5837	11.2549	8.2404	8.0487	11.9286	10.7315	9.3888	9.4259	8.9791	9.7883
GS1_AS_03962_08109	SCEPAM2013B12.g	.	.	.	RecName:Sulfated surface glycoprotein 185; Short=SSG 185; Flags: Precursor	8.5306	8.351	7.9894	7.8838	8.8011	8.6957	9.2873	8.5631	9.4703	9.6658	9.2603	9.3214
GS1_AS_03971_03764	SCJFRT2053E09.g	.	.	.	Protein translocase subunit secA	6.4875				6.8874	6.9168						
GS1_AS_03939_03127	SCEPAM2011H07.g	.	.	.	Protein argonaute	6.5613	7.0809			6.7813	7.4192			6.9222			
GS1_AS_03937_04039	SCEPAM2011G10.g	.	.	.	BEACH domain-containing protein lvsC	6.1805				5.9183				7.1348	7.3314		
GS1_AS_03990_02176	SCEPAM2014E03.g	Unknown	.	.	RecName:Putative protein TPRXL	7.6046	8.6584	7.363	7.4585	7.7847	8.2894	8.5776	8.1165	8.2218	8.647	8.0173	8.1369
GS1_AS_08715_06020	SCEZLB1005F10.g	Unknown	no matches	.	.	10.1699	10.2211	9.1858	9.1022	10.4809	10.6555	9.4324	9.9169	10.3478	10.4246	9.535	8.9398
GS1_AS_03991_03582	SCEPAM2014E06.g	Others	uncharacterized	.	Small subunit processome component 20 homolog; Down-regulated in metastasis protein; Protein Key-1A6; Novel nucleolar protein 73; NNP73	7.7602	7.8312	6.8266	6.8726	7.9676	8.1295		7.5797	6.9578	7.1359	6.6521	
GS1_AS_08709_15152	SCBGLR1117F08.g	Development	protein-protein interaction	Development	LOB domain-containing protein 4 	6.4068	7.009	6.9567			6.7779	7.994	8.0442	7.6556	7.9233	7.5439	7.5065
GS1_AS_08690_07161	SCJLRT1023H07.g	.	.	.	RecName:RPM1-interacting protein 4	6.603		6.6449	6.5035	6.3212	6.4682	7.1815	7.123	7.6531	7.9164	7.3238	7.0672
GS1_SS_09305_13059	SCJFRZ2027H07.g	.	.	.	.	9.6703	10.0798			9.6372	10.036			7.3468	7.5156		
GS1_SS_09306_10805	SCQGLB1039C06.g	.	.	.	Putative pterin-4-alpha-carbinolamine dehydratase (PHS) (4-alpha-hydroxy-tetrahydropterin dehydratase) (Pterin carbinolamine dehydratase) (PCD)	9.5981	8.2071	9.6806	9.3458	9.4342	8.406	8.7175	10.4277	9.6037	7.9666	8.7557	8.7606
GS1_SS_09291_11032	SCUTHR1065B10.g	.	.	.	.	12.1635	12.7063	11.9173	12.6982	12.7856	12.9873	12.68	12.7402	11.9981	12.9438	12.1394	12.8911
GS1_SS_09292_11483	SCVPCL6045A03.g	RNA metabolism	DNA binding	.	Sacsin	12.2899	12.9701	10.858	10.5518	12.2622	13.3318	10.8602	10.8577	11.6502	12.5687	10.7603	10.3552
GS1_SS_09301_01396	SCQGLB1038A07.g	.	.	.	RecName:Uncharacterized protein At1g05835; Flags: Precursor	11.6943	12.3286	10.0085	9.982	11.1184	12.2131	8.7688	9.4086	11.5659	12.3178	10.3427	10.2045
GS1_SS_09302_21747	SCQGLB1038C03.g	Carbohydrate metabolism	dehydrogenase	Carbohydrate metabolism	aldehyde dehydrogenase	9.7563	8.0381		6.5519	10.7677	9.2427		6.6748	9.2465	8.6924		7.9854
GS1_SS_09284_10102	SCQGLB1030B10.g	Unknown	.	.	.	11.0336	11.0975	12.0785	10.1264	13.6806	10.9798	12.9642	12.4227	11.6757	10.8778	13.1427	10.7189
GS1_SS_09285_15642	SCMCLR1053B11.g	Lipid metabolism	Acyltransferases	Nucleic acid metabolism	1-acyl-sn-glycerol-3-phosphate acyltransferase PLS1	12.5019	12.4111	11.6376	12.049	12.6436	12.6586	11.5313	11.8647	13.4976	13.2756	11.6208	12.3299
GS1_SS_09286_07844	SCQGLB1030C04.g	RNA metabolism	synthase	.	RNA pseudouridylate synthase domain-containing protein 2	10.2769	10.6755	10.9802	10.6087	9.3517	10.2384	9.2697	10.8011	9.5503	10.1433	10.7863	9.6579
GS1_SS_09289_01605	SCQGLB1030D05.g	Unknown	Uncharacterized	.	.	7.9512	8.1025	6.5965		7.888	8.6906		7.0387	8.0949	8.8681	7.0877	
GS1_SS_09307_13110	SCCCLR1070D11.g	Signal Transduction	kinase/phosphatase	Protein kinase	SNF1-related protein kinase catalytic subunit alpha KIN10	13.5431	13.4399	12.4844	11.8748	12.9447	12.952	11.5097	12.1095	13.4732	13.3372	12.0039	11.8064
GS1_AS_04013_18979	SCEPAM2015F01.g	Signal Transduction	transcription factor	Transcription Factor	hormone-related/auxin											7.0688	6.5239
GS1_SS_09319_09624	SCMCRT2087B09.g	Cell wall metabolism	unknown function	Cell wall	kobito	11.8173	12.511	9.8482	10.0905	11.9444	12.8681	10.0372	10.5319	11.7205	13.1261	10.0642	10.6013
GS1_SS_09315_08717	SCJLRZ1021F06.g	.	.	.	Uncharacterized protein yqxC	11.3627	11.5872	12.5808	12.2332	11.3038	12.385	12.2316	12.5785	11.6597	12.6653	12.5315	12.1741
GS1_SS_09316_07718	SCUTRZ2023H03.g	Unknown	uncharacterized	.	.	12.7568	12.4189			13.3096	12.763			12.68	12.0945		
GS1_SS_09317_09731	SCMCST1049C07.g	.	.	.	.	8.5188	8.9166	7.2136	7.2238	8.2937	9.0568	8.1366	7.6979	8.0646	8.0244	7.3674	7.8095
GS1_SS_09318_11291	SCCCLB1C04F04.g	.	.	.	Mitogen-activated protein kinase kinase kinase 3; Arabidopsis NPK1-related protein kinase 3	8.9031	8.5404	8.0046	7.4303	9.6087	8.4595	7.0557	7.1548	8.7518	8.0131	8.8323	8.6775
GS1_SS_09308_03552	SCQGLB1039E01.g	.	.	.	.	12.6131	12.8093	10.8892	11.5261	12.667	13.1077	11.7038	11.8145	12.6677	12.9864	11.3408	11.6898
GS1_SS_09309_17973	SCVPLR1049A01.g	.	.	Cell cycle	Structural maintenance of chromosome 3 (Chondroitin sulfate proteoglycan 6) (Chromosome seg	13.1943	13.4111	12.7733	12.5357	12.8148	13.0177	12.3706	12.3584	13.8309	13.9135	13.3725	12.9836
GS1_SS_09310_09944	SCQGLB1039E12.g	.	.	.	.	6.6955	6.6481	8.8503	7.9834	6.8615	6.3695	9.5951	8.8713	6.9106		8.1281	
GS1_SS_09314_05892	SCJLST1022G08.g	.	.	.	Protein IQ-DOMAIN 31	12.5876	12.0386	7.5741		13.0652	11.7028			12.8089	11.0742	7.8446	
GS1_AS_04071_03198	SCRFLR1012E08.g	.	.	.	RecName:Glycoprotein gp2; AltName:Glycoprotein X; Short=GpX; Flags: Precursor	6.9988	7.6412			6.8242	7.7752						
GS1_AS_04064_07953	SCEPAM2055A08.g	Unknown	.	.	.	10.0865	10.4525	10.7615	10.7211	10.1772	11.0206	12.1859	11.4757	9.4362	9.7031	10.5972	9.8627
GS1_AS_04075_03034	SCEPAM2055F12.g	Unknown	Uncharacterized	.	.	9.1912	9.4562	7.6307	7.3324	9.0912	9.2653	8.2927	7.2282	8.9914	9.7856	7.9552	7.8118
GS1_AS_04080_03957	SCEPAM2056A03.g	Unknown	.	.	.	8.3057	9.1824	7.3409	7.396	7.9988	9.255	7.6618	8.0132	8.8707	9.9573	8.0869	8.3731
GS1_AS_04089_16416	SCEPAM2056G07.g	Redox Metabolism	.	Stress	peroxidase	6.1412		6.6432		6.5385	6.4968			7.7867	7.8706	6.8719	6.7896
GS1_AS_04100_17530	SCCCLR1070C04.g	.	.	Receptors	Receptor Ser/Thr kinase-unclassified	7.0272	7.1163			7.5209	7.3598						
GS1_AS_04101_00149	SCEPAM2057G04.g	.	.	.	DNA polymerase delta catalytic subunit	7.3524	7.7642	6.6635	6.8413	7.2914	7.2859	7.6883	7.5205	7.9852	8.1283	7.8522	7.8764
GS1_AS_04082_16354	SCEPAM2056C02.g	.	.	Lipid, fatty-acid and isoprenoid metabolism	Aspartic proteinase precursor (EC 3.4.23.-)	6.2172				6.4674	6.4375			7.0224			
GS1_SS_09273_10045	SCQGLB1028H11.g	.	.	.	.	11.7074	10.8386	10.8409	10.4536	11.9277	10.8739	12.6162	11.534	11.9745	10.5213	11.3253	10.5435
GS1_SS_09278_14784	SCBGLR1117A11.g	.	.	Protein metabolism	40S ribosomal protein S25	15.6753	16.0923	13.939	13.9728	15.661	16.3594	12.946	14.471	15.5845	16.0204	13.8741	13.7669
GS1_SS_09281_09245	SCQGLB1029E10.g	Unknown	uncharacterized	.	.	11.8356	10.4325	7.6939	7.2023	11.6527	10.602		7.7616	11.6723	10.2848	6.9172	7.2035
GS1_SS_09269_00890	SCCCLB1C03G04.g	.	.	.	.	10.7021	10.3738	9.3231	10.0482	10.4794	10.2444	10.3895	9.8102	10.5399	9.9274	9.2662	9.3445
GS1_SS_09270_07326	SCJLRT2050G02.g	.	.	.	.	12.6161	13.4507	10.488	11.1329	13.3879	13.9957	11.0078	11.8962	13.0803	13.9257	10.4425	10.8158
GS1_SS_09271_13480	SCEQRT2027A10.g	Cell wall metabolism	cell wall growth/extension	Cell wall	Expansin	10.4539	9.84	7.4112	7.54	11.2517	9.6036	8.8862	7.9198	11.5434	9.8244	8.1753	7.9736
GS1_SS_09272_20722	SCVPLR1049B12.g	Unknown	.	Unknown protein	Uncharacterized protein At1g15400	10.8927	12.3376	15.9157	14.7436	11.1847	13.11	15.8252	16.221	11.0184	12.5032	16.0741	14.9778
GS1_SS_09265_18179	SCEZLB1008G03.g	.	.	Nucleic acid metabolism	RecName:Proline-rich protein 4; Short=AtPRP4; Flags: Precursor	7.9051	8.1111	6.2802	6.5811	10.6198			6.8233	7.1025			6.7332
GS1_SS_09266_11394	SCCCLB1C03F04.g	Unknown	no matches	.		7.6868		6.3973	6.3835	6.7584			7.3854	7.4592			
GS1_SS_09268_08921	SCEQRT2099F10.g	.	.	.	2,3-bisphosphoglycerate-dependent phosphoglycerate mutase; Phosphoglyceromutase; PGAM; BPG-dependent PGAM; dPGM	13.6407	13.0641	10.0219	10.3349	13.6411	12.8677	10.2508	10.2216	13.3605	12.3138	9.8744	10.0777
GS1_SS_04429_01420	SCMCCL6052E09.g	.	.	.	Uncharacterized membrane protein At1g63010	10.9598	11.0916	11.0998	11.0024	12.1043	10.918	14.4746	11.313	11.0131	10.7411	11.5701	11.6714
GS1_SS_09432_06689	SCRULB1058D03.g	.	.	.	Transmembrane protein 184C; Transmembrane protein 34	9.6933	9.5225	7.4788	7.3286	9.6651	9.5948	7.8758	7.9565	9.578	9.0799	7.994	7.7092
GS1_SS_04428_12491	SCQGAM2026F04.g	.	.	.	RecName:Putative SCAN domain-containing protein 2	10.7043	10.7727	11.821	12.4004	11.6579	11.0959	13.317	12.2177	10.9067	10.9682	10.8766	11.4459
GS1_SS_06887_09576	SCEZRT2024A08.g	Redox metabolism	transferase	.	Probable glutathione S-transferase GSTU6; 28 kDa cold-induced protein			12.0798	10.7904			13.2108	11.0345			11.2757	11.5998
GS1_SS_09434_11941	SCRULB1058D11.g	.	.	.	Glycine-rich RNA-binding, abscisic acid-inducible protein			11.229	10.5136			11.1251	11.1534			10.9898	10.872
GS1_SS_09437_10039	SCQGLR1041H09.g	.	.	.	UPF0559 protein	12.1451	10.9297	10.5663	10.6289	12.1644	11.4891	10.874	10.793	11.8176	11.1531	10.6279	10.7647
GS1_SS_06888_12348	SCEZRZ1017D06.g	.	.	.	Putative methyltransferase KIAA0859 homolog	11.4614	13.228	9.8247	10.7509	12.8315	14.3173	10.8492	11.4134	11.7935	13.7967	9.4912	10.9385
GS1_SS_06890_11474	SCCCLR1022C06.g	.	.	.	1,2-dihydroxy-3-keto-5-methylthiopentene dioxygenase 2; Aci-reductone dioxygenase 2; ARD 2; Submergence-induced protein 2A 1,2-dihydroxy-3-keto-5-methylthiopentene dioxygenase 2; Aci-reductone dioxygenase 2; ARD 2; Submergence-induced protein 2A	12.54	12.636	12.0134	12.4008	12.6603	13.0004	12.3712	12.9321	12.8273	12.8861	12.4134	13.0666
GS1_SS_09440_13215	SCRLLR1038D07.g	.	.	.	Peroxisomal biogenesis factor 6; Peroxin-6; Peroxisome biosynthesis protein PAS8	11.745	12.2036	11.2869	11.1159	11.7785	12.2913	11.3089	11.4981	11.4437	11.7232	10.8542	10.5286
GS1_SS_04433_01227	SCRULR1020B12.g	DNA metabolism	uncharacterized	.	DNA-damage-inducible protein F	8.2334	8.6546	7.8171	7.7751	7.9209	9.1851	8.7216	7.9647	8.4522	8.8307	8.0434	8.192
GS1_SS_09426_21816	SCRULB1058A11.g	.	.	Carbohydrate metabolism	Pentose phosphate pathway	11.9192	12.3458	12.318	12.2686	11.7089	12.5375	12.0107	12.3009	12.2461	12.7484	12.6468	12.9077
GS1_SS_09429_12712	SCRULB1058B11.g	Unknown	Resistence protein-like	.	RecName:Basic proline-rich protein; Contains: RecName:Proline-rich peptide SP-B-like; Short=PRP-SP-B-like; Contains: RecName:Proline-rich peptide SP-A; Short=PRP-SP-A; Contains: RecName:Proline-rich peptide SP-B; Short=PRP-SP-B; Contains: RecName:Parotid hormone; AltName:PH-Ab; Flags: Precursor	15.5194	13.3841			15.2127	13.3627			15.4855	12.8363		
GS1_SS_04431_01961	SCUTHR1065B11.g	.	.	.	Probable poly(A) polymerase; PAP	8.1919	8.1807			8.0114	8.3351			8.5603	8.3654		
GS1_SS_09430_02023	SCRULB1058C03.g	.	.	.	Pentatricopeptide repeat-containing protein At1g61870, mitochondrial; Protein PENTATRICOPEPTIDE REPEAT 336;	13.1665	12.5869	11.2752	10.762	12.8957	12.9502	9.3713	11.7727	13.773	12.9417	10.9011	10.2693
GS1_SS_06883_10210	SCRLCL6033H05.g	.	.	.	Putative ribonuclease H protein At1g65750	6.5248	8.0444			6.5082	8.6707				7.5377		
GS1_SS_06885_18778	SCEQRT2092D05.g	Carbohydrate metabolism	.	Carbohydrate metabolism	Glycolysis/Gluconeogenesis	8.5835	11.8811	9.4114	10.9391	12.9088	12.3954	12.1484	11.6224	9.2884	12.4464	9.7853	11.5155
GS1_SS_04430_07193	SCMCAM2080E10.g	.	.	.	Methyl-CpG-binding domain protein 2; AltName:Methyl-CpG-binding protein MBD2	10.2904	9.6182			8.3463	9.539			9.6822	9.0371		
GS1_SS_40044_20716	SCCCLB2002C02.g	.	.	Pathogenicity	R-genes	7.7667	8.3224	6.7758		8.4016	9.2645		6.8161	7.0737	8.0703		
GS1_SS_40157_15802	SCPIRT3024A07.g	.	.	Small GTPases	Rab	12.082	11.87	9.6195	9.4333	11.4689	11.7965	9.1835	9.9639	11.6745	11.4524	9.4587	9.1765
GS1_SS_40039_19473	SCCCRT3002E04.g	.	.	Lipid, fatty-acid and isoprenoid metabolism	3-hydroxy-3-methylglutaryl-coenzyme A reductase (EC 1.1.1.34) (HMG-CoA reductase)	7.0974	6.5877			6.4049							
GS1_SS_40041_19475	SCCCRT3002F02.g	.	.	Protein metabolism	Elongation initiation factor 5C (LD21309P) (CG2922-PA) (CG2922-PB)	6.6342		6.3012		6.5078				8.0622	7.9869	7.373	7.0254
GS1_SS_39903_20882	SCJLFL4186G07.g	Carbohydrate metabolism	Fructose/Mannose/Galactose	Cell wall	Beta-galactosidase	8.0379	8.3068			7.0732	7.8954			7.5565			
GS1_SS_39962_14836	SCSGFL4196H05.g	Signal Transduction	kinase/phosphatase	Receptors	Receptor Ser/Thr kinase			9.6227				10.5445	8.2936			7.6521	
GS1_SS_04438_02889	SCCCLR2002B07.g	.	.	.	Chaperone protein dnaJ 10 (AtJ10) (AtDjC10)	15.0096	15.2922	12.9737	12.3377	15.0407	15.126	12.1639	12.9215	15.4589	15.2102	13.5263	12.7828
GS1_SS_04437_07987	SCEZLB1014B01.g	.	.	.	.	9.6754	9.7539	9.9944	9.6305	9.7496	9.4796	9.1938	9.2429	9.3777	9.8827	10.4748	9.6258
GS1_SS_04436_17455	SCEZRZ1014A04.g	Others	.	Transcription Factor	Zinc finger proteins	13.239	15.3271	10.7473	10.4498	13.0535	16.1059	8.8668	11.6031	13.8584	16.6024	11.224	11.3531
GS1_SS_04435_13030	SCJFRT1010B12.g	.	.	.	RecName:Probable sugar phosphate/phosphate translocator At5g25400	15.8333	15.4314	14.8929	14.4962	15.5874	15.5979	14.2067	15.5619	16.071	15.3981	15.7098	14.5662
GS1_SS_09441_11165	SCRULB1060C07.g	.	.	.	RecName:Pollen-specific leucine-rich repeat extensin-like protein 4; Short=AtPEX4; Short=Pollen-specific LRR/EXTENSIN4; AltName:Cell wall hydroxyproline-rich glycoprotein; Flags: Precursor	6.2985	6.3146	5.9991		6.4145	6.3269		6.802	6.7219			
GS1_SS_09443_03730	SCVPLR2005F02.g	.	.	.	HMG1/2-like protein	15.5617	15.4588	14.4964	14.8988	15.9435	15.7708	14.5862	15.0456	15.7625	15.6517	14.3918	15.1258
GS1_SS_06893_08960	SCSBLB1033C10.g	Cell cycle	Mitosis	.	Sister chromatid cohesion 1 protein 3; SCC1 homolog 3; AtRAD21-2	9.6712	7.6103			9.8633	8.0283			9.0244	7.5247		
GS1_SS_06894_10070	SCEZRZ3098B10.g	Unknown	uncharacterized	.	.	8.4921	9.0786	8.3434	7.9368	7.9333	8.5338	8.387	8.173	9.1147	9.8636	9.7247	8.8887
GS1_SS_06904_13038	SCQSST1038C02.g	.	.	Protein kinase	undefined	15.5139	15.5991	13.004	12.6045	15.4382	15.7304	13.3777	13.2982	15.9594	15.6412	13.0336	12.779
GS1_SS_04442_02545	SCMCAM2081A09.g	.	.	.	Uncharacterized protein C20orf4 homolog	11.6914	12.4618	8.4667	9.0611	12.7105	12.8916	9.7494	8.9779	11.6908	12.9352	8.4419	8.6946
GS1_SS_06905_18323	SCSFSB1071A04.g	.	.	Protein kinase	Undefined	8.1554	8.0967			8.2108	8.5059			7.6415	7.8589		
GS1_SS_04441_15815	SCCCLR1066B02.g	Protein metabolism	ribosomal protein	Protein metabolism	Ribosomal protein S6 RPS6-1	10.958	11.6328	11.4428	11.5421	12.0578	12.5165	11.2583	12.5281	10.2964	10.2912	9.9346	9.6565
GS1_SS_06906_10986	SCEQRT2029A05.g	.	.	.	RecName:WD repeat-containing protein 44; AltName:Rabphilin-11	12.8657	12.5937	12.4726	13.5304	12.5978	12.5968	15.3636	13.8291	12.6394	12.0156	13.0159	13.7765
GS1_SS_04440_08027	SCAGLR1021A07.g	.	.	.	Probable prefoldin subunit 2	10.8666	11.2159	10.9101	11.2196	11.8693	11.8351	11.5022	11.4771	10.9899	11.5703	10.8518	11.6448
GS1_SS_06907_13938	SCJFRZ2014B09.g	.	.	.	ATP-dependent Clp protease ATP-binding subunit clpX	13.0468	13.2381	13.1378	13.4391	12.982	13.2719	12.2216	13.5058	12.9956	13.0712	13.0183	13.2423
GS1_SS_06895_03800	SCQGLR1085C06.g	.	.	.	E3 ubiquitin-protein ligase UPL3; Ubiquitin-protein ligase 3; HECT ubiquitin-protein ligase 3; Protein KAKTUS	13.5656	13.6088	13.5049	13.5145	13.5209	13.6147	14.0828	13.5092	13.2215	13.2972	13.0583	13.3498
GS1_SS_04449_10865	SCMCAM2081E07.g	.	.	.	Solute carrier family 12 member 6 (Electroneutral potassium-chloride cotransporter 3) (K-Cl cotransporter 3)	8.6191	9.0581	7.8975	7.7784	8.4124	8.9145	8.6884	8.2328	9.2205	9.7828	8.2982	8.167
GS1_SS_06900_05604	SCCCLB1C03G10.g	.	.	.	Carboxyvinyl-carboxyphosphonate phosphorylmutase; Carboxyphosphonoenolpyruvate phosphonomutase; CPEP phosphonomutase	11.0989	11.2477	9.9989	9.4774	10.9289	10.9364	9.3875	10.0179	11.3844	11.0531	9.2957	9.5944
GS1_SS_04445_05206	SCCCAM2C07B09.g	.	.	.	Copia protein; Gag-int-pol protein;  Copia VLP protein;  Copia protease	8.1965	8.7535	6.6294	7.0375	8.257	9.2095	7.4544	7.277		7.3956		7.1725
GS1_SS_06902_06289	SCQGRT1042D05.g	.	.	.	Exocyst complex component 2; Exocyst complex component Sec5	6.9194				6.8747	6.881						
GS1_SS_04444_11607	SCMCAM2081C02.g	Transposable element-related	.	.	.	7.3108	8.2686	6.3524	6.7677	7.1463	8.6147		6.8692		7.7705		7.2083
GS1_SS_06903_03708	SCCCST3005D01.g	.	.	.	.	7.4302				7.0303	6.1081			7.6075			
