probe_name	transcript_name	function	structural	category	sub category 1	A1V2E3_0.80.c	A1V2E3_0.80.t	A1V2E5_0.80.c	A1V2E5_0.80.t	A1V2E6_0.80.c	A1V2E6_0.80.t
GS1_SS_02476_05496	SCBGLR1002D05.g	.	.	.	Protein FAM133			8.5807	8.5344	7.6834	7.7292
GS1_SS_02484_19499	SCJFAM1069C01.g	Cell wall metabolism	Other glycan degradation	Cell wall	Glycoside hydrolase family 28 protein (polygalacturonase)		7.3744	10.4774	8.0356	10.0988	6.5646
GS1_SS_02481_16398	SCMCAM2080E02.g	Unknown	Uncharacterized	Development	Transcriptional co-repressor LEUNIG			6.2217	11.3064	7.2632	11.8124
GS1_SS_02495_03884	SCCCST1002C01.g	.	.	.	RING finger protein 10	12.0475	12.4161	14.5907	14.9779	14.4132	14.1926
GS1_SS_02494_10477	SCEZRZ3017H06.g	.	.	.	Nucleolar complex protein 4 homolog; NOC4 protein homolog; NOC4-like protein; Nucleolar complex-associated protein 4-like protein	10.6436	10.8474	12.44	12.0036	11.8071	11.5721
GS1_SS_02493_13834	SCEQAM2037B08.g	.	.	.	.	12.5967	12.9439	14.7871	14.4406	13.968	14.0068
GS1_SS_02492_13164	SCCCLR1077D04.g	.	.	.	Splicing factor 3B subunit 4 Splicing factor 3B subunit 4	10.9471	10.7684	12.3	12.6834	12.4072	13.153
GS1_SS_02479_16146	SCJFAM1068H09.g	.	.	Protein metabolism	Aldehyde oxidase (EC 1.2.3.1)	8.6074	7.9941	11.6865	9.8909	9.0328	9.9386
GS1_SS_02478_09197	SCJFAM1068H08.g	.	.	.	.	8.0796	8.0134	9.3377	10.0226	9.1641	9.1451
GS1_SS_25069_17129	SCVPLB1017E07.g	.	.	Amino acid metabolism	3-dehydroquinate dehydratase/shikimate 5-dehydrogenase	10.7507	10.2774	12.3693	12.9658	12.3167	13.0501
GS1_AS_04484_01566	SCBFRZ2046E11.g	Others	protease	.	Aspartic proteinase nepenthesin-1; Nepenthesin-I;			7.4495	6.9079		8.0371
GS1_SS_25070_08572	SCACCL6006E02.g	.	.	.	.	11.6788	11.3917	13.1336	13.7726	12.7218	14.1302
GS1_SS_25074_00375	SCQSLB2052D09.g	.	.	.	.	7.8521	8.1895	9.2917	8.4951	9.1935	8.0688
GS1_SS_25071_11404	SCCCLR1C05B02.g	Unknown	no matches	.	.	14.3472	13.5979	14.8304	14.9935	14.7823	15.07
GS1_SS_25072_12168	SCQSLB2051G05.g	.	.	.	.	10.1054	9.9547	11.6881	10.8828	11.0473	10.7972
GS1_SS_25062_02766	SCVPRT3088G02.g	.	.	.	Formin-like protein 6; OsFH6	7.0546	6.8764	8.563	8.6936	8.409	8.0665
GS1_AS_04480_03606	SCMCAM2082G05.g	.	.	.	F-box protein At2g31470	6.4162		6.445	6.4256		
GS1_AS_04538_19991	SCCCRT1002D04.g	AminoAcid and nitrogen metabolism	lyase	Amino acid metabolism	hydroxymethylglutaryl-CoA lyase	8.4828		11.7634	8.3837	9.1546	7.9945
GS1_AS_04515_02932	SCMCAM2083H07.g	Unknown	uncharacterized	.	Transmembrane protein 49	8.5519	8.7853	8.7041	9.0207	9.0115	9.019
GS1_AS_04531_01474	SCCCLR2002H06.g	Unknown	.	.	.	7.8215	7.8067	9.334	8.376	9.2034	10.0587
GS1_AS_04623_06983	SCQGAM2030F10.g	.	.	.	Uncharacterized protein At5g02240	6.6257	7.089	7.2399	7.6082	7.5617	7.0948
GS1_AS_04599_03941	SCCCCL4015D04.g	.	.	.	.			6.9432	6.7081	6.7135	7.3099
GS1_AS_04691_08218	SCJLRT1021D11.g	Unknown	.	.	RecName:Trihelix transcription factor GT-3b; AltName:Transcription factor GT-1-like; AltName:Trihelix DNA-binding protein GT-3b	8.1423	8.1633	10.3575	7.6949	8.9979	6.8084
GS1_AS_04722_07805	SCCCLR1076F07.g	Signal Transduction	transcription factor	Transcription Factor	HLH (helix-loop-helix)	10.5248	10.9192	9.1453	10.3965	11.9282	9.5229
GS1_AS_00048_16361	SCAGCL6012C06.g	Protein metabolism	hydrolase	Protein metabolism	Cysteine proteinase RD21a 			6.586	6.9306		6.613
GS1_AS_04738_02650	SCEPRZ1008B01.g	Unknown	.	.	.	6.4591	6.4857	7.5993	7.57	7.4722	7.7043
GS1_AS_00069_01156	SCRLLR1109E12.g	.	.	.	.			7.6077	7.4904	7.383	7.0777
GS1_AS_00035_01670	SCJLRT2050H03.g	.	.	.	RecName:Formin-2	6.4132		7.8097	7.5216	7.2733	7.7426
GS1_AS_00099_21781	SCEQRT1027E02.g	Signal Transduction	quinase	Protein kinase	calcium-related	7.221	7.2861	8.254	7.4098	7.1135	7.6891
GS1_AS_04770_14850	SCQSAM2098B02.g	Signal Transduction	.	Receptors	RSTK			6.1605	6.2231		
GS1_AS_00102_14703	SCMCCL6052C09.g	.	.	Receptors	receptor Ser/Thr kinase			6.8786	6.6038		7.2883
GS1_SS_07165_10690	SCSBLB1032F01.g	Others	.	.	70 kDa peptidyl-prolyl isomerase; Peptidyl-prolyl cis-trans isomerase; PPIase; Rotamase	13.0873	12.5681	14.2709	13.0233	12.7819	14.35
GS1_AS_00142_20040	SCACAD1037B06.g	Carbohydrate metabolism	Hydratase	Bioenergetics	glyoxylate cycle	8.8382	8.9574	9.8762	9.7072	9.4656	9.9933
GS1_SS_07179_02389	SCEZRZ1017F12.g	.	.	.	Pentatricopeptide repeat-containing protein At1g62350	9.7508	9.3308	11.9876	11.4216	11.129	11.1199
GS1_SS_07175_00494	SCAGLB1070D03.g	.	.	Development	morphogenesis		6.4855	8.2424	7.5771	7.4167	7.9312
GS1_SS_07178_19847	SCMCRT2104G02.g	Transport	Transporters	Transporters	Transmembrane amino acid transporter protein (Aa_trans)	8.2971	8.5382	10.8135	13.2713	9.2707	12.7519
GS1_SS_07167_17454	SCVPCL6064H05.g	.	.	Protein metabolism	Elongation factor EF-2	9.2598	9.4246	11.1491	11.6494	10.6981	13.4879
GS1_SS_07168_21338	SCCCRZ2C02B10.g	.	.	Nucleic acid metabolism	regulation of transcription, DNA-dependent	7.4856	7.224	8.4753	8.7327	8.7697	8.0983
GS1_SS_07169_11323	SCMCRT2107C06.g	.	.	.	.	10.4516	10.5905	12.1811	11.9366	11.5949	12.1547
GS1_SS_07173_18264	SCVPCL6065C01.g	.	.	Receptors	RecName:G-type lectin S-receptor-like serine/threonine-protein kinase SD2-5; AltName:S-domain-2 (SD2) receptor kinase 5; Short=SD2-5; Flags: Precursor			7.6747	7.56	7.6503	
GS1_AS_00161_20791	SCEZLB1005H10.g	.	.	Transcription Factor	negative regulator			6.9272	6.8171		6.9779
GS1_SS_07184_04111	SCCCCL7001D05.g	.	.	.	.	6.8461	6.7935	7.6056	8.275		8.4695
GS1_AS_00169_15158	SCQSST1037B10.g	.	.	Receptors	Receptor Ser/Thr kinase			7.0128	6.9707		6.9651
GS1_SS_04709_12469	SCEZRZ1015A05.g	.	.	.	U4/U6 small nuclear ribonucleoprotein Prp31; Pre-mRNA-processing factor 31; U4/U6 snRNP 61 kDa protein; Protein 61K	9.3147	9.5112	11.6145	12.3542	11.6194	12.2491
GS1_SS_04721_16860	SCCCLR1070G03.g	.	.	Development	COP9 signalosome complex subunit 2 (SGN2) (Alien protein) (Dch2)	12.753	12.5708	14.7571	14.487	14.4735	14.0361
GS1_SS_04715_01331	SCRFLB1055H11.g	Unknown	uncharacterized	.	RecName:Protein WVD2-like 1; Short=AtWDL1	10.1255	9.0819	11.5856	9.5923	10.5846	8.6843
GS1_SS_07198_13237	SCMCRT2087B02.g	Protein metabolism	cysteine protease inhibitors	.	Cysteine proteinase inhibitor 8; Oryzacystatin-8; Oryzacystatin VIII; OC-VIII;			7.0798	7.5945	6.9873	12.587
GS1_SS_04713_13029	SCUTLR2008B03.g	Others	RNA-binding protein	.	RecName:Plasminogen activator inhibitor 1 RNA-binding protein; AltName:PAI1 RNA-binding protein 1; Short=PAI-RBP1; AltName:RDA288; AltName:SERPINE1 mRNA-binding protein 1	8.5565	8.8663	11.0618	11.0163	10.7315	10.8735
GS1_SS_07205_21738	SCEPLR1051B11.g	Protein metabolism	DnaJ	Nucleic acid metabolism	DNA replication	12.988	12.9141	13.5853	14.6141	13.4844	14.7599
GS1_SS_07207_11272	SCCCCL7037D08.g	.	.	.	DnaJ homolog subfamily C member 21 (DnaJ homolog subfamily A member 5)	8.0023	8.0685	9.0613	9.535	9.2526	9.8659
GS1_SS_04710_17096	SCEPLB1044E07.g	Signal Transduction	kinase/phosphatase	Protein kinase	cell cycle-related	8.2709	8.5714	10.44	10.2093	9.568	9.6828
GS1_SS_07208_10939	SCJLLR1107H10.g	.	.	.	.	11.2158	10.7874	12.1162	11.5561	11.7324	11.4286
GS1_SS_04719_17024	SCUTLR1058B04.g	.	.	Carbohydrate metabolism	Citrate cycle (TCA cycle)	9.5396	9.9514	11.2672	12.7737	11.3003	12.6829
GS1_SS_07192_08534	SCCCCL7002B10.g	.	.	.	RecName:Uncharacterized protein LOC284861	7.6035	7.3146	8.5067	9.2343	9.0259	9.1268
GS1_SS_04718_20859	SCCCST3005E08.g	Redox Metabolism	.	Stress	peroxidase	11.6601	10.7357	12.3838		13.062	
GS1_SS_07193_09089	SCCCCL7002C05.g	Unknown	uncharacterized	.	RecName:Uncharacterized protein LOC284861	11.234	11.5961	13.4212	12.0079	12.9383	11.504
GS1_SS_07195_03898	SCMCRT2103C07.g	Unknown	uncharacterized	.	Acidic leucine-rich nuclear phosphoprotein 32-related protein 2 (ANP32/acidic nuclear phosphoprotein-like protein 2)	9.4794	8.8505	12.4243	9.7458	10.1693	9.3531
GS1_SS_04717_15163	SCEQRT2026F02.g	DNA metabolism	.	Cell cycle	Structural maintenance of chromosome 2 (Chromosome-associated protein E) (Chromosome assemb	7.1745	7.2804	9.3597	9.5389	8.1162	9.832
GS1_SS_07196_15051	SCCCCL7002F03.g	.	.	Amino acid metabolism	putative Xaa-Pro dipeptidase	9.473	10.4655	11.8493	12.0287	11.3094	12.4151
GS1_SS_04716_12904	SCRLAM1008A04.g	.	.	.	Glutamate receptor 2.8; Ligand-gated ion channel 2.8;		6.3645	6.9056	6.8151	7.2443	
GS1_SS_07147_21296	SCVPCL6063F04.g	.	.	Carbohydrate metabolism	.	13.735	13.8284	14.8042	15.014	15.0026	14.8576
GS1_SS_07150_12735	SCVPCL6041D12.g	.	.	.	.	12.8622	12.2248	13.0241	13.7268	13.6429	13.8339
GS1_SS_07151_17711	SCCCLR2001C08.g	.	.	Cell cycle	cancer overexpressed protein	10.5911	10.6632	11.4886	11.8139	12.1818	11.616
GS1_SS_07130_18380	SCVPCL6062C06.g	.	.	Cell cycle	Sister chromatid cohesion 1 protein 3 (SCC1 homolog 3) (AtRAD21-2)	6.3915	6.1507		7.2313		6.853
GS1_SS_07134_10453	SCVPRZ2038B10.g	.	.	.	E3 ubiquitin-protein ligase RNF5; RING finger protein 5 E3 ubiquitin-protein ligase RNF5; RING finger protein 5	12.023	12.0969	14.2577	13.6605	13.0531	14.0178
GS1_SS_07137_07902	SCMCRT2105C03.g	.	.	.	.	10.3327	10.5574	12.5475	13.4851	11.8643	13.6283
GS1_SS_07146_19011	SCJFLR1013C02.g	.	.	Stress	Water stress	10.4318	10.7921	12.3164	13.129	11.8084	13.4491
GS1_SS_07124_11310	SCACLR2014D10.g	.	.	.	Small nuclear ribonucleoprotein Sm D2; Sm-D2; snRNP core protein D2 Small nuclear ribonucleoprotein Sm D2; Sm-D2; snRNP core protein D2 Small nuclear ribonucleoprotein Sm D2; Sm-D2; snRNP core protein D2	9.8534	9.4381	11.7413	10.4038	10.5459	10.3127
GS1_SS_07125_09237	SCVPCL6061E09.g	.	.	.	.			7.2127	6.9565	7.2093	7.1032
GS1_SS_07126_19446	SCSGRT2065E10.g	RNA metabolism	nuclease	Nucleic acid metabolism	DNA catabolism	9.8515	10.0398	11.7874	14.8766	11.1192	16.7138
GS1_SS_07162_17884	SCCCLB1024B11.g	.	.	Amino acid metabolism	Similarity to diaminopimelate decarboxylase	12.3769	12.2384	14.3323	13.1832	13.4683	12.4747
GS1_SS_07164_10628	SCCCLB1024G10.g	.	.	.	.	8.384	8.3499	10.5393	10.0667	10.1009	9.9527
GS1_SS_07157_13698	SCJFST1013E01.g	.	.	.	.	11.2782	11.3337	12.8192	12.086	12.5788	11.7964
GS1_SS_07158_01190	SCVPCL6064A09.g	.	.	.	E3 ubiquitin-protein ligase BRE1-like 1	10.125	10.3741	12.0277	12.6128	11.6735	12.6943
GS1_SS_07160_13896	SCVPCL6064C07.g	.	.	.	.	10.1694	10.5343	12.1373	12.2922	12.1146	12.0429
GS1_SS_07152_03092	SCVPCL6063G06.g	Unknown	no matches	.	.			6.9045	6.8651		6.6958
GS1_SS_07153_20262	SCEZLB1007F08.g	.	.	Nucleic acid metabolism	regulation of transcription, DNA-dependent	7.4661	7.816	10.5458	9.9019	9.0327	10.1799
GS1_SS_07154_19675	SCBGLR1099H07.g	.	.	Ubiquitination	ubiquitin-activating enzyme E1	10.5319	10.2488	12.3596	12.0535	11.9137	11.4619
GS1_SS_04844_02621	SCEQLR1029A06.g	.	.	.	Reticulon-like protein B17 OS=Arabidopsis thaliana GN=RTNLB17 PE=2 SV=1 	7.9379	7.9355	9.2623	11.3565	9.264	11.8684
GS1_SS_02432_08686	SCJFAM1067F08.g	Unknown	no matches	.	.	9.0395	8.4185	10.2942	9.5129	9.8869	8.7449
GS1_SS_04843_21322	SCCCLR1022C07.g	Signal Transduction	transcription factor	Transcription Factor	Homeobox	9.3168	8.4117	9.8465	9.4219	10.6731	7.5652
GS1_SS_02430_18906	SCJFRZ2013G11.g	.	.	Carbohydrate metabolism	S-adenosylmethionine synthetase (SAM synthase)	7.5457	7.7674	8.8618	8.4366	8.7078	8.6959
GS1_SS_02429_06002	SCJFAM1067F03.g	Transport	transporter	.	Boron transporter-like protein 2	10.2759	10.3492	8.3023	9.7169	12.0726	7.4625
GS1_SS_04837_06949	SCEZRZ1017A08.g	.	.	.	Pyruvate dehydrogenase E1 component subunit beta, mitochondrial; PDHE1-B;			8.9891	6.8877		8.533
GS1_SS_04850_05650	SCCCST3001B05.g	Unknown	Uncharacterized	.	CYSTM1 family protein A	12.4026	12.2215	14.0556	12.7773	13.0502	13.3789
GS1_SS_02437_09195	SCCCLB1023C11.g	.	.	.	Protein PPLZ12	12.5362	12.207	14.5598	15.5566	14.5456	15.8264
GS1_SS_04847_14626	SCEQAM2038D04.g	.	.	lipid metabolism	Phosphatidylserine synthase 2; PtdSer synthase 2; PSS-2; Serine-exchange enzyme II	6.7858	7.2705	9.4835	7.6695	8.1032	8.1334
GS1_SS_02434_18872	SCEZLR1052C06.g	Signal Transduction	kinase/phosphatase	Receptors	histidine kinase receptor	8.9166	9.283	10.7261	10.9197	11.4173	9.0243
GS1_SS_04846_13424	SCJFRZ2026G03.g	.	.	.	ATP-dependent Clp protease ATP-binding subunit clpX ATP-dependent Clp protease ATP-binding subunit clpX	7.6207	7.5859	8.9886	9.2663	8.3181	9.309
GS1_SS_02433_07142	SCEZLB1006E07.g	Protein metabolism	.	.	60S ribosomal protein L44	11.6548	11.3696	13.1568	12.3263	12.7736	12.5273
GS1_SS_04845_06642	SCCCCL4002B09.g	.	.	.	Mitochondrial import inner membrane translocase subunit Tim9	8.8103	8.267	9.7987	9.1044	9.4477	9.1882
GS1_SS_25021_11297	SCRFAD1022B04.g	.	.	.	Chaperone protein dnaJ 49; AtJ49; AtDjC49	12.1444	12.0363	14.0021	13.8805	13.7576	14.0841
GS1_SS_25022_14519	SCCCRT3005C04.g	.	.	.	.		6.2908	7.7773	7.6265		8.3675
GS1_SS_25019_13651	SCMCAM2084C09.g	.	.	.	UBA domain-containing protein 7	11.0881	11.5424	13.1531	13.0936	12.6914	13.0369
GS1_SS_25020_13193	SCRURT3064H08.g	Unknown	Uncharacterized	.	Probable plastid-lipid-associated protein 8, chloroplast precursor (Fibrillin-8)	12.8477	13.0407	13.6207	12.4022	13.871	10.497
GS1_SS_25011_20449	SCBGFL5082G06.g	.	.	Stress	Water stress	10.0407	10.373	11.2165	11.9162	11.6094	11.3933
GS1_SS_25014_14045	SCRURT3064B01.g	.	.	.	Homeobox-leucine zipper protein HOX8; Homeodomain transcription factor HOX8; HD-ZIP protein HOX8; OsHox8	7.0495	6.8454			8.7022	
GS1_SS_25018_12689	SCACCL6008G11.g	.	.	.	Alternative oxidase 1a, mitochondrial;			7.956	7.7177	7.1066	8.0454
GS1_SS_25016_13686	SCSBAD1054A07.g	Cell wall metabolism	Phenylpropanoid biosynthesis	Cell wall	Cinnamyl alcohol dehydrogenase (CAD)	7.0485	7.2415	8.3864	7.9382	7.9189	8.1814
GS1_SS_02445_17984	SCCCLR1070C10.g	Cell cycle	regulatory protein	Cell cycle	PP2A inhibitor	12.2769	11.6257	14.9948	12.4505	13.5486	11.8663
GS1_SS_04852_14638	SCEZAM1080H11.g	Unknown	uncharacterized	No matches	non-coding		7.2645	7.8171	8.1688	7.6398	7.8828
GS1_SS_02441_05898	SCEZLB1005C03.g	.	.	.	BRCA1-associated RING domain protein 1; BARD-1	11.8702	11.5333	13.0615	12.5757	12.7707	12.5982
GS1_SS_04861_17616	SCSGAM2103G01.g	.	.	Pathogenicity	R-gene	8.496	8.1532	8.6312	8.9401	9.0023	8.3447
GS1_SS_02450_15671	SCCCLR1024F07.g	AminoAcid and nitrogen metabolism	.	Amino acid metabolism	Histidine decarboxylase	14.7862	14.0798	16.0842	16.8334	15.6071	16.4224
GS1_SS_02449_14302	SCJFAM1067G04.b	RNA metabolism	helicase	.	Putative helicase mug81 (Meiotically up-regulated gene 81 protein)	8.8386	8.7089	10.1345	13.7775	9.6288	14.352
GS1_SS_04859_13366	SCJLRZ1018E07.g	.	.	.	.	9.9977	8.8194	10.9585	10.242	10.7537	8.8212
GS1_SS_02447_18603	SCBFLR1039G11.g	Signal Transduction	.	Transcription Factor	zinc finger protein	7.1059	7.2517	7.9795	11.1299	7.9204	8.7653
GS1_SS_04857_17845	SCEQAM2036G12.g	.	.	Protein kinase	Cell cycle-related	11.1531	10.9308	13.2581	13.0797	13.2455	13.0155
GS1_SS_02446_15987	SCCCLR1079B11.g	.	.	Protein kinase	casein kinase	12.8548	12.6579	13.5809	13.6688	13.8559	13.0452
GS1_SS_04866_19783	SCSFAM1075F06.g	.	.	Protein metabolism	Beta-1,4 mannosyltransferase (Hypothetical protein NT2RP2000720)	10.038	10.0516	11.3939	11.2869	11.4387	10.8805
GS1_SS_02459_00227	SCJFAM1068B02.g	.	.	.	.			6.5322	7.444		7.1503
GS1_SS_04865_13605	SCSGAM2105F08.g	.	.	.	.	10.4978	10.4856	11.2408	12.3454	11.8294	12.4247
GS1_SS_02456_02472	SCACLR1130B08.g	.	.	.	40S ribosomal protein S25-2	10.7782	10.191	12.5621	10.7746	11.8084	10.8331
GS1_SS_04864_12171	SCEPSB1129H03.g	.	.	.	.			8.176	9.1972	8.5761	8.8192
GS1_SS_04862_00738	SCQGLB1027H02.g	Unknown	uncharacterized	.	.	6.5864	7.1936	8.9188	10.527	7.757	10.051
GS1_SS_02455_13321	SCUTRZ2024H03.g	.	.	.	Actin-related protein 2/3 complex subunit 5; Arp2/3 complex 16 kDa subunit; p16-ARC	9.0413	9.0566	10.7738	11.0483	10.4517	10.8831
GS1_SS_25039_13329	SCQGLR1062H12.g	Unknown	uncharacterized	.	.	10.5419	11.3204	11.6805	13.7124	13.0558	15.0432
GS1_SS_25035_01007	SCRLLR1131G09.g	.	.	.	Translation initiation factor IF-2	7.9173	8.3949	10.43	9.9821	9.974	9.8393
GS1_SS_25038_07503	SCRFFL1032C04.g	.	.	.	.	7.9898	7.7329	9.0081	9.0413	9.1273	8.0834
GS1_SS_04853_14624	SCCCLR1066A08.g	.	.	Protein metabolism	Eukaryotic initiation factor 4A-3 (eIF4A-3) (eIF-4A-3)	14.9628	14.9474	16.34	16.0696	16.3492	16.1407
GS1_SS_25026_16639	SCEQRT1030G03.g	.	.	Stress	wound-induced	8.7239	8.6056	10.7933	9.8733	10.0335	9.4503
GS1_SS_25025_17748	SCCCRZ2002D07.g	.	.	Stress	Water stress	12.891	12.5564	14.4113	13.2386	14.1062	13.061
GS1_SS_25030_08992	SCRFFL5040H04.g	.	.	.	RecName:Probable calcium-binding protein CML49; AltName:Calmodulin-like protein 49	11.8689	11.8761	14.0425	14.6732	13.8113	14.5354
GS1_SS_25033_10293	SCRUHR1075B01.g	Unknown	Uncharacterized	.	.	9.0208	9.0224	10.9201	13.1608	11.2255	13.6813
GS1_SS_02461_01508	SCJLRT2052A03.g	.	.	.	Ankyrin repeat-containing protein At5g02620	8.7602	8.1253	11.6691	10.489	9.5075	11.5907
GS1_SS_02460_10511	SCJFAM1068B03.g	.	.	.	E3 ubiquitin-protein ligase UHRF2; Ubiquitin-like PHD and RING finger domain-containing protein 2; Ubiquitin-like-containing PHD and RING finger domains protein 2; Np95/ICBP90-like RING finger protein; Np95-like RING finger protein; Nuclear zinc fing		6.7667	8.0812	8.2909	7.8158	8.3353
GS1_SS_04867_07782	SCCCLR1C07B03.g	.	.	.	Probable protein NAP1 (Nck-associated protein 1) (P125Nap1) (NAP of plants)	9.3345	9.2969	10.4906	9.423	10.4077	8.6418
GS1_SS_07283_15500	SCJFRZ2027H06.g	.	.	Protein metabolism	Mitochondrial import inner membrane translocase subunit Tim8	11.6575	10.9962	13.4948	11.5432	12.3709	11.031
GS1_SS_02394_15385	SCEQRT1031E01.g	.	.	Protein metabolism	Chloroplast 30S ribosomal protein S8	15.6775	15.8972	17.0272	15.7549	17.0973	14.7851
GS1_SS_04791_08462	SCQSRZ3038H09.g	.	.	.	PCI domain-containing protein 2; CSN12-like protein			7.0204	7.0626		7.1519
GS1_SS_07288_06646	SCCCHR1002G07.g	.	.	.	GPI-anchored protein LORELEI OS=Arabidopsis thaliana GN=LRE PE=2 SV=1 	8.7466	9.3145	11.5075	11.3508	10.6737	11.3906
GS1_SS_04790_19163	SCVPRZ2044C03.g	.	.	Receptors	receptor Ser/Thr kinase	7.0383	7.5086	8.4718		8.5664	
GS1_SS_07290_12861	SCQSLB1051A02.g	.	.	.	Serine/arginine repetitive matrix protein 1	6.6589	6.5526	7.0638	7.4848	6.8266	7.2677
GS1_SS_04799_18506	SCJFST1010F06.g	Light harvesting	Reductase	Lipid, fatty-acid and isoprenoid metabolism	NADPH:adrenodoxin oxidoreductase, mitochondrial precursor (EC 1.18.1.2) (Adrenodoxin reduct	9.6974	9.8127	11.264	10.6759	11.1994	10.298
GS1_SS_02398_12733	SCJFAM1066D08.b	.	.	.	.	10.8937	11.1674	12.4776	12.991	12.4966	13.0721
GS1_SS_02397_07742	SCJFRT1010D08.g	.	.	.	Protein phosphatase PTC7 homolog	10.9589	11.2347	12.4915	12.8442	12.5475	12.714
GS1_SS_07280_10127	SCCCHR1002B07.g	.	.	.	Probable ADP-ribosylation factor GTPase-activating protein AGD14; Protein ARF-GAP DOMAIN 14; AtAGD14; Protein ZIGA4	7.1297	7.1877	9.1592	9.8166	9.2014	9.1866
GS1_SS_04798_05772	SCVPCL6040B03.g	.	.	.	Pentatricopeptide repeat-containing protein At1g79490, mitochondrial; Protein EMBRYO DEFECTIVE 2217;	9.3018	9.1123	11.7663	9.8761	10.7542	8.9758
GS1_SS_02396_10953	SCJFRZ2014G06.g	.	.	.	DEAD-box ATP-dependent RNA helicase 16	6.9802	7.5959	9.1247	9.225	8.408	9.2099
GS1_SS_07281_07559	SCCCHR1002C02.g	Unknown	uncharacterized	.	RecName:Putative protein TPRXL	13.8321	14.2932	16.7346	16.7847	14.9158	17.2699
GS1_SS_04796_09399	SCRURT2012C07.g	.	.	.	RecName:Serine/arginine repetitive matrix protein 2; AltName:300 kDa nuclear matrix antigen; AltName:Serine/arginine-rich splicing factor-related nuclear matrix protein of 300 kDa; Short=SR-related nuclear matrix protein of 300 kDa; Short=Ser/Arg-related nuclear matrix protein of 300 kDa; AltName:Splicing coactivator subunit SRm300; AltName:Tax-responsive enhancer element-binding protein 803; Short=TaxREB803	6.4091	6.4528	7.6716	7.8253	7.3624	7.3965
GS1_SS_04795_12499	SCQSAM2099H05.g	Protein metabolism	ribosome binding	.	Elongation factor P (EF-P) Elongation factor P (EF-P)	10.2713	10.4296	12.7607	10.1511	11.8469	9.1166
GS1_SS_02395_02574	SCCCLR1080G04.g	.	.	.	Filament-like plant protein 7; AtFPP7	8.5306	8.3277	9.9487	9.6097	9.3942	9.7465
GS1_SS_07282_03732	SCVPLB1017H07.g	Unknown	uncharacterized	.	Transcription factor bHLH68; AltName:Basic helix-loop-helix protein 68; Short=AtbHLH68; Short=bHLH 68; AltName:Transcription factor EN 60; AltName:bHLH transcription factor bHLH068	12.5415	11.9378	13.4647	12.8343	13.1963	12.6155
GS1_SS_24970_07570	SCJLLB2079B12.g	.	.	.	.	8.2224	7.5598	10.34	7.9486	9.2135	6.4245
GS1_SS_24971_21843	SCUTLR2008B04.g	Lipid metabolism	synthase	Lipid, fatty-acid and isoprenoid metabolism	3-oxoacyl-[acyl-carrier-protein] synthase I	12.1101	11.9625	14.4229	13.1387	13.7482	12.6052
GS1_SS_24966_09751	SCJLLB2078B11.g	.	.	.	UPF0195 protein At1g68310	8.8278	8.9388	10.1859	11.8713	10.0777	12.3127
GS1_SS_24978_18271	SCUTAM2113A07.g	.	.	Transporters	Sugar transporters	8.9382	9.0341	10.8188	11.0486	10.4359	11.2624
GS1_SS_24980_09331	SCQSRT3052A02.g	.	.	.	.	9.2635	9.1293	11.1799	11.0529	10.7963	10.0205
GS1_SS_24964_01130	SCUTLR1058F06.g	RNA metabolism	ribosomal protein	.	60S ribosomal protein L18a	7.3081		9.8312	9.1263	9.1028	9.2313
GS1_SS_24965_19388	SCQSLB1049H12.g	.	.	Development	Polycomb group protein FIE1 (FERTILIZATION-INDEPENDENT ENDOSPERM 1)	10.2465	10.1488	11.8061	11.5353	11.4604	12.0973
GS1_SS_24958_21358	SCEZLB1009F12.g	Signal Transduction	.	Hormone related	jasmonate	13.7543	13.9382	15.147	15.2368	15.4486	14.8037
GS1_SS_02402_09771	SCVPLB1016G07.g	Cytoskeleton and vesicle trafficking	.	.	Patellin-6	7.1189	7.4822	9.0244	8.7835	8.7592	8.6178
GS1_SS_04815_10890	SCRFAM1026C03.g	.	.	.	RecName:CYSTM1 family protein A	8.7115	8.4123	9.5481	10.3193	9.277	10.1108
GS1_SS_04807_16359	SCSGAM2104H02.g	.	.	Bioenergetics	energy pathways	11.3005	11.1398	12.3508	12.7325	12.4587	13.2436
GS1_SS_02401_06430	SCJFAM1066D11.g	Signal Transduction	.	auxin	Auxin response factor 12; OsARF8	11.1802	11.116	13.0852	12.2312	12.2068	12.5342
GS1_SS_04804_17230	SCSFHR1045D05.g	.	.	Protein kinase	RLCK				7.8221	8.0674	7.4533
GS1_SS_02400_12430	SCCCLR2004G11.g	Others	hydrolase	.	Putative lipase ROG1; Revertant of glycogen synthase kinase mutation protein 1	9.1028	8.7174	9.5239	11.8367	10.7469	12.6658
GS1_SS_02399_11235	SCVPCL6042F02.g	Others	uncharacterized	.	Ankyrin repeat-containing protein At3g12360	8.0489	8.1511	12.3608	11.4649	9.3371	11.7975
GS1_SS_04803_11436	SCQSAM2100C06.g	.	.	.	Nudix hydrolase 16, mitochondrial; AtNUDT16;	11.8148	12.0149	12.0921	12.3228	13.4035	11.3356
GS1_SS_07293_05944	SCACHR1035B09.g	Unknown	no matches	.				5.9554	6.6595		6.6301
GS1_SS_07297_12565	SCVPRZ2039B05.g	.	.	.	Uncharacterized protein At4g06744;	8.6385	7.3403	9.5912	8.1595	9.3777	8.1411
